 
(Cantidad de reviews, Score, Titulo)
(2922, 4.5, 'Holes ')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six ')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six')
(1377, 4.0, 'Life of Pi')
(1377, 4.0, 'Life of Pi')
(1377, 4.0, 'Life of Pi Cassette')
(1377, 4.0, 'Life of Pi: A Novel ')
(1377, 4.0, 'Life of Pi CD')
(1185, 4.5, 'The Golden Compass ')
(1185, 4.5, 'The Golden Compass ')
(1185, 4.5, 'The Golden Compass ')
(1185, 4.5, 'The Golden Compass ')
(1185, 4.5, 'The Golden Compass ')
(1185, 4.5, 'The Golden Compass ')
(1185, 4.5, 'The Golden Compass ')
(1055, 2.5, 'The Bear and the Dragon ')
(1001, 5.0, 'Ella Enchanted')
(964, 4.5, 'Where the Red Fern Grows')
(918, 4.0, 'The Bad Beginning ')
(918, 4.0, 'The Bad Beginning ')
(918, 4.0, 'The Bad Beginning ')
(826, 4.5, 'Hatchet')
(826, 4.5, 'Hatchet ')
(826, 4.5, 'Hatchet')
(826, 4.5, 'Literature Guide: Hatchet ')
(826, 4.5, 'Hatchet')
(826, 4.5, 'Hatchet')
(826, 4.5, 'Hatchet')
(826, 4.5, 'Hatchet')
(747, 4.0, 'The Amber Spyglass ')
(745, 4.0, 'The Amber Spyglass ')
(745, 4.0, 'The Amber Spyglass ')
(735, 2.0, 'The Teeth of the Tiger')
(702, 4.0, 'Artemis Fowl ')
(702, 4.0, 'Artemis Fowl ')
(682, 4.5, 'Redwall ')
(682, 4.5, 'Redwall ')
(681, 4.5, 'Redwall ')
(681, 4.5, 'Redwall ')
(681, 4.5, 'Redwall: Anniversary Edition')
(681, 4.5, 'Redwall')
(610, 5.0, 'The Chronicles of Narnia Box Set: Full')
(609, 5.0, 'Selections from The Chronicles of Narnia')
(609, 5.0, 'The Complete Chronicles of Narnia')
(603, 4.0, 'Beach')
(573, 4.5, 'Jurassic Park')
(573, 4.5, 'Jurassic Park')
(561, 4.5, 'The Princess Bride: S')
(552, 4.5, 'The Subtle Knife ')
(551, 4.5, 'The Subtle Knife ')
(551, 4.5, 'The Subtle Knife ')
(551, 4.5, 'The Subtle Knife ')
(551, 4.5, 'The Subtle Knife ')
(541, 5.0, 'Alanna : The First Adventure')
(540, 5.0, 'Alanna: The First Adventure ')
(522, 4.0, 'The Lost World')
(522, 4.0, 'The Lost World')
(502, 4.0, 'Airframe')
(502, 4.0, 'Airframe')
(501, 4.0, 'The Amazing Adventures of Kavalier ')
(501, 4.0, 'The Amazing Adventures of Kavalier ')
(501, 4.0, 'Amazing Adventures of Kavalier ')
(476, 5.0, 'Sabriel ')
(476, 5.0, 'Sabriel')
(476, 5.0, 'Sabriel ')
(466, 3.5, 'Meg : A Novel of Deep Terror')
(452, 4.5, 'His Dark Materials Trade Paper Boxed Set ')
(452, 4.5, 'His Dark Materials Trilogy: The Golden Compass ')
(442, 4.5, 'The Phantom Tollbooth')
(442, 4.5, 'The Phantom Tollbooth')
(442, 4.5, 'Phantom Tollbooth')
(434, 4.0, 'My Side of the Mountain')
(434, 4.0, 'My Side of the Mountain')
(429, 4.0, 'Deception Point')
(421, 4.5, 'Harry Potter Hardcover Boxed Set ')
(400, 4.5, 'Island of the Blue Dolphins')
(400, 4.5, 'Island of the Blue Dolphins ')
(400, 4.5, 'The Island of the Blue Dolphins')
(382, 4.5, 'The Lion')
(382, 4.5, 'The Lion')
(381, 4.5, 'The Lion')
(381, 4.5, 'The Lion')
(379, 4.5, 'The Cay')
(378, 4.5, 'The Cay')
(378, 4.5, 'The Cay')
(359, 3.5, 'Daughter of Fortune')
(350, 4.5, 'Bud')
(350, 4.5, 'Bud')
(350, 4.5, 'Bud')
(347, 4.0, 'Heart of Darkness ')
(344, 3.5, 'Gap Creek ')
(344, 4.0, 'Soul Harvest: The World Takes Sides ')
(335, 3.5, 'Atlantis Found ')
(335, 3.5, 'Atlantis Found ')
(334, 4.0, 'Hard Eight : A Stephanie Plum Novel ')
(332, 4.5, 'Charlie and the Chocolate Factory')
(323, 4.5, 'Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry')
(313, 4.5, 'The Power of One')
(313, 4.5, 'Power of One')
(305, 4.0, 'The Call of the Wild ')
(305, 4.0, 'The Call of the Wild ')
(305, 4.0, 'The Call of the Wild ')
(305, 4.0, 'The Call of the Wild')
(305, 4.0, 'The Call of the Wild and Other Stories ')
(302, 4.5, 'The Godfather')
(299, 4.0, 'Adventures of Huckleberry Finn: A Case Study in Critical Controversy ')
(299, 4.0, 'ADVENTURES OF HUCKLEBERRY FINN ')
(299, 4.0, 'Adventures of Huckleberry Finn: Complete Text With Introduction')
(299, 4.0, 'The Adventures of Huckleberry Finn : Revised Edition ')
(299, 4.0, 'Huckleberry Finn ')
(299, 4.0, 'The Adventures of Huckleberry Finn ')
(299, 4.0, 'Adventures of Huckleberry Finn ')
(299, 4.0, 'The Adventures of Huckleberry Finn ')
(299, 4.0, 'The Adventures of Huckleberry Finn ')
(299, 4.0, 'Adventures of Huckleberry Finn ')
