 
(Cantidad de reviews, Score, Titulo)
(2617, 4.5, 'The Giver ')
(2570, 4.0, 'The Catcher in the Rye')
(2570, 4.0, 'The Catcher in the Rye')
(2570, 4.0, 'J')
(2568, 4.0, 'The Catcher in the Rye')
(2568, 4.0, 'The Catcher in the Rye')
(1498, 4.0, 'The Eye of the World ')
(1433, 4.5, 'El Hobbit')
(1432, 4.5, 'Hobbit Cass')
(1432, 4.5, 'Hobbit CD Wd Bx')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit : The Enchanting Prelude to The Lord of the Rings')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit')
(1432, 4.5, 'The Hobbit')
(1414, 4.5, 'Kill a Mockingbird')
(1414, 4.5, 'To Kill a Mockingbird')
(1414, 4.5, 'To Kill a Mockingbird : The 40th Anniversary Edition of the Pulitzer Prize')
(1414, 4.5, 'To Kill a Mockingbird')
(1414, 4.5, 'To Kill a Mockingbird')
(1414, 4.5, 'To Kill a Mockingbird ')
(1414, 4.5, 'To Kill a Mockingbird')
(1414, 4.5, 'To Kill a Mockingbird')
(1291, 4.5, 'The Outsiders')
(1291, 4.5, 'The Outsiders')
(1250, 4.0, 'Atlas Shrugged : 35th Anniversary Edition')
(1250, 4.0, 'ATLAS SHRUGGED cass : Abridged Edition ')
(1250, 4.0, 'Atlas Shrugged')
(1244, 4.0, 'Atlas Shrugged')
(1244, 4.0, 'Atlas Shrugged')
(1244, 4.0, 'Atlas Shrugged ')
(1186, 4.5, 'J')
(1186, 4.5, 'The Hobbit and The Lord of the Rings')
(1178, 4.5, '1984')
(1173, 4.5, '1984 ')
(1173, 4.5, '1984')
(1173, 4.5, '1984')
(1172, 4.5, '1984')
(1101, 4.0, 'Lord of the Flies')
(1101, 4.0, 'Lord of the Flies')
(1101, 4.0, 'Lord of the Flies')
(1101, 4.0, 'Lord of the Flies')
(1101, 4.0, 'Lord of the Flies ')
(1069, 4.0, 'Fahrenheit 451')
(1069, 4.0, 'Fahrenheit 451 CD')
(1069, 4.0, 'Fahrenheit 451')
(1069, 4.0, 'Fahrenheit 451')
(1069, 4.0, 'Fahrenheit 451')
(1048, 4.5, 'Go Ask Alice')
(1004, 5.0, 'Ella Enchanted')
(1003, 4.5, 'Of Mice and Men : ')
(1001, 5.0, 'Ella Enchanted ')
(1001, 5.0, 'Ella Enchanted ')
(1001, 5.0, 'Ella Enchanted')
(1000, 4.5, 'Of Mice and Men ')
(1000, 4.5, 'Of Mice and Men ')
(1000, 4.5, 'Of Mice and Men ')
(1000, 4.5, 'Of Mice and Men Cassette ')
(992, 4.5, 'Animal Farm ')
(992, 4.5, 'Animal Farm')
(992, 4.5, 'Animal Farm: A Fairy Story')
(990, 4.5, 'Animal Farm')
(990, 4.5, 'Animal Farm and Related Readings')
(974, 4.0, 'Tuck Everlasting')
(974, 4.0, 'Tuck Everlasting')
(967, 4.5, 'The Lord of the Rings ')
(967, 4.5, 'The Lord of the Rings ')
(967, 4.5, 'The Lord of the Rings ')
(966, 4.5, 'The Lord of the Rings ')
(966, 4.5, 'The Lord of the Rings ')
(966, 4.5, 'The Lord of the Rings')
(964, 4.5, 'Where the Red Fern Grows')
(961, 4.5, 'Where the Red Fern Grows')
(961, 4.5, 'Where the Red Fern Grows')
(961, 4.5, 'Where the Red Fern Grows')
(961, 4.5, 'Where the Red Fern Grows')
(934, 4.0, 'The Great Gatsby')
(934, 4.0, 'The Great Gatsby')
(934, 4.0, 'The Great Gatsby')
(934, 4.0, 'Great Gatsby ')
(934, 4.0, 'The Great Gatsby')
(934, 4.0, 'F')
(933, 4.0, 'Great Gatsby')
(903, 4.5, 'Dune')
(872, 4.5, 'A Wrinkle in Time')
(872, 4.5, 'A Wrinkle in Time ')
(872, 4.5, 'Literature Guide: A Wrinkle in Time ')
(872, 4.5, 'A Wrinkle in Time')
(872, 4.5, 'A Wrinkle in Time')
(872, 4.5, 'The Time Quartet Box Set ')
(830, 4.0, 'The Fountainhead ')
(829, 4.0, 'Spark Notes The Fountainhead')
(829, 4.0, 'Fountainhead')
(829, 4.0, 'The Fountainhead')
(829, 4.0, 'The  Fountainhead ')
(829, 4.0, 'The Fountainhead ')
(829, 4.0, 'The Fountainhead')
(829, 4.0, 'The Fountainhead')
(826, 4.5, 'Hatchet')
(826, 4.5, 'Hatchet')
