 
(Cantidad de reviews, Score, Titulo)
(2776, 3.0, 'Hannibal')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2033, 4.5, 'Memoirs of a Geisha')
(1688, 3.0, 'The Path of Daggers ')
(1543, 4.0, 'She')
(1543, 4.0, 'SHE')
(1540, 4.0, 'She')
(1540, 4.0, 'She')
(1540, 4.0, 'She')
(1433, 4.5, 'El Hobbit')
(1340, 4.5, 'I Know This Much Is True ')
(1340, 4.5, 'I Know This Much Is True')
(1300, 4.0, 'The Notebook')
(1300, 4.0, 'The Notebook')
(1300, 4.0, 'The Notebook')
(1293, 4.0, 'The Notebook')
(1293, 4.0, 'The Notebook ')
(1285, 4.0, 'The Poisonwood Bible : A Novel ')
(1285, 4.0, 'Poisonwood Bible')
(1285, 4.0, 'Poisonwood Bible')
(1224, 4.5, 'Where The Heart Is ')
(1224, 4.5, 'Where the Heart Is ')
(1191, 4.5, 'A Walk to Remember')
(1191, 4.5, 'A Walk to Remember')
(1191, 4.5, 'A Walk to Remember ')
(1189, 4.5, 'A Walk to Remember')
(1189, 4.5, 'Walk to Remember')
(1186, 4.5, 'The Lord of the Rings and The Hobbit')
(1173, 4.5, '1984 ')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1091, 4.5, 'The Perks of Being a Wallflower')
(1090, 4.0, 'Summer Sisters')
(1090, 4.0, 'Summer Sisters')
(1069, 3.5, 'Winter')
(1066, 3.5, 'The Testament ')
(1066, 3.5, 'The Testament')
(1055, 2.5, 'The Bear and the Dragon')
(1046, 4.0, 'Bridget Jones Diary')
(1046, 4.0, 'Bridget Jones')
(1046, 4.0, 'Bridget Jones')
(1046, 4.0, 'Bridget Jones')
(1045, 4.0, 'Bridget Jones')
(1020, 3.0, 'The Street Lawyer')
(1020, 3.0, 'The Street Lawyer')
(1020, 3.0, 'The Street Lawyer')
(1015, 4.5, 'Outlander')
(1005, 4.0, 'A Painted House')
(1002, 4.0, 'A Painted House')
(1002, 4.0, 'A Painted House: A Novel ')
(996, 4.0, 'The Secret Life of Bees')
(996, 4.0, 'The Secret Life of Bees')
(996, 4.0, 'Secret Life of Bees CD : CD')
(996, 4.0, 'The Secret Life of Bees')
(989, 3.5, 'American Psycho ')
(986, 4.5, 'Coldest Winter Ever')
(986, 4.5, 'The Coldest Winter Ever')
(986, 4.5, 'The Coldest Winter Ever')
(974, 4.5, 'A Prayer for Owen Meany ')
(974, 4.5, 'A Prayer for Owen Meany ')
(940, 3.0, 'The Pilot')
(940, 3.0, 'The Pilot')
(940, 3.0, 'The Pilot')
(940, 3.0, 'The Pilot')
(935, 4.0, 'White Oleander')
(935, 4.0, 'White Oleander : A Novel ')
(935, 4.0, 'White Oleander : A Novel')
(935, 4.0, 'White Oleander : A Novel')
(935, 4.0, 'White Oleander: A Novel')
(934, 4.0, 'The Great Gatsby')
(934, 3.0, 'The Corrections')
(934, 3.0, 'The Corrections')
(933, 3.0, 'The Corrections')
(933, 3.0, 'The Corrections')
(933, 3.0, 'The Corrections ')
(871, 3.5, 'A Man in Full')
(871, 3.5, 'A Man in Full')
(871, 3.5, 'A Man in Full')
(868, 3.5, 'Skipping Christmas')
(868, 3.5, 'Skipping Christmas')
(868, 3.5, 'Skipping Christmas')
(868, 3.5, 'Skipping Christmas')
(866, 3.5, 'Skipping Christmas')
(850, 4.0, 'The Last Day')
(837, 3.5, 'Message in a Bottle')
(837, 3.5, 'Message in a Bottle')
(829, 4.0, 'The Fountainhead ')
(824, 4.0, 'The Partner ')
(823, 4.0, 'The Partner')
(823, 4.0, 'The Partner')
(823, 4.0, 'The Partner')
(819, 4.5, 'Watership Down Cass')
(783, 3.0, 'The Celestine Prophecy : An Adventure')
(782, 4.5, 'The Fellowship of the Ring ')
(780, 3.0, 'The Celestine Prophecy')
(777, 4.5, 'A Confederacy of Dunces: Twentieth')
(775, 3.5, 'The Girl Who Loved Tom Gordon')
(765, 4.5, 'It ')
(722, 3.5, 'The Reader')
(719, 3.5, 'Suzanne')
(719, 3.5, 'Suzanne')
(719, 3.5, 'Suzanne')
(716, 3.5, 'Suzanne')
(713, 4.0, 'Girl With a Pearl Earring')
(713, 4.0, 'Girl with a Pearl Earring')
(712, 4.0, 'Girl With a Pearl Earring')
(709, 3.5, 'A Separate Peace')
(702, 2.5, 'The Shelters of Stone ')
(698, 3.5, 'House of Sand and Fog ')
(698, 3.5, 'House of Sand and Fog')
(680, 4.5, 'Confessions of a Shopaholic')
(679, 4.5, 'Confessions of a Shopaholic')
(677, 3.5, 'Jemima J')
(677, 3.5, 'Jemima J : A Novel About Ugly Ducklings and Swans')
(636, 4.5, 'Pride and Prejudice ')
(631, 3.0, 'The Devil Wears Prada : A Novel')
(631, 4.0, 'Brave New World ')
(617, 3.0, 'When the Wind Blows')
(613, 3.5, 'Soul of the Fire ')
(610, 4.5, 'Pillars of the Earth')
(607, 3.5, 'The Horse Whisperer')
(607, 3.5, 'The Horse Whisperer')
(607, 3.5, 'The Horse Whisperer')
(606, 4.0, 'Good In Bed')
(605, 4.0, 'Me Talk Pretty One Day')
(603, 4.0, 'The Beach')
(589, 4.5, 'On Writing')
(573, 4.5, 'Jurassic Park')
(556, 4.0, 'Beloved : Gift Edition')
(556, 3.5, 'A Widow for One Year')
(556, 4.0, 'Beloved')
(551, 4.5, 'Fight Club')
(544, 3.5, 'The Girls')
(544, 4.5, 'El Silmarillion')
(544, 3.5, 'The Girls')
(539, 3.0, 'The King of Torts')
(539, 3.0, 'The King of Torts')
(532, 3.0, 'Narcissus in Chains ')
(531, 3.5, 'Fall on Your Knees')
(530, 2.0, 'Southern Cross')
(520, 4.0, 'Midwives')
(517, 4.5, 'Middlesex: A Novel')
(517, 4.5, 'Middlesex')
(508, 4.5, 'The Color of Water: A Black Man')
(505, 4.5, 'Interview with the Vampire')
(505, 4.5, 'Interview With the Vampire')
(504, 3.0, 'Point of Origin')
(499, 4.0, 'Sophie')
(499, 4.0, 'Sophie')
(499, 4.0, 'Sophie')
(490, 4.0, 'Executive Orders')
(489, 4.0, 'Atonement')
(486, 4.0, 'American Gods: A Novel')
(486, 4.0, 'American Gods')
(485, 3.5, 'The House on Mango Street')
(485, 3.5, 'The House on Mango Street ')
(485, 3.5, 'The House on Mango Street')
(485, 4.5, 'The Princess Diaries ')
(484, 4.0, 'American Gods')
(483, 4.5, 'Milk in My Coffee')
(483, 4.5, 'Milk in my Coffee')
(483, 4.5, 'Milk in My Coffee')
(482, 4.0, 'Tara Road')
(482, 4.0, 'Tara Road')
(482, 4.0, 'Tara Road : Oprah Selection ')
(482, 4.0, 'Tara Road')
(478, 4.0, 'The Secret History')
(477, 4.0, 'The Secret History')
(476, 4.5, 'High Fidelity')
(461, 4.5, 'Bridget Jones: The Edge of Reason')
(461, 4.5, 'Bridget Jones : The Edge of Reason')
(455, 3.5, 'Here on Earth')
(455, 4.5, 'Neverwhere')
(455, 3.5, 'Here on Earth ')
(455, 3.5, 'Here on Earth ')
(455, 3.5, 'Here on Earth ')
(454, 4.5, 'Cheaters')
(454, 4.5, 'Neverwhere')
(454, 4.5, 'A Fine Balance ')
(454, 4.5, 'Cheaters')
(454, 4.5, 'Cheaters')
(454, 4.5, 'A Fine Balance ')
(454, 4.5, 'A Fine Balance')
(454, 4.5, 'Neverwhere')
(453, 3.5, 'Bel Canto: A Novel ')
(452, 4.0, 'House of Leaves : A Novel')
(452, 3.5, 'Bel Canto : A Novel')
(452, 3.5, 'Bel Canto')
(452, 4.0, 'House of Leaves : A Novel')
(452, 3.5, 'Bel Canto: A Novel')
(452, 4.0, 'House of Leaves : A novel')
(450, 4.5, 'A Tree Grows in Brooklyn')
(447, 4.0, 'The Bluest Eye')
(447, 4.0, 'The Bluest Eye ')
(447, 4.0, 'The Bluest Eye')
(446, 4.0, 'The Lion')
(446, 4.0, 'The Lion')
(446, 4.0, 'The Lion')
(446, 4.0, 'The Lion')
(442, 4.0, 'Lesson Before Dying')
(442, 4.0, 'A Lesson Before Dying : A Novel ')
(441, 3.0, 'We Were the Mulvaneys ')
(441, 3.0, 'We Were the Mulvaneys')
(441, 3.0, 'We Were the Mulvaneys')
(441, 3.0, 'We Were the Mulvaneys ')
(441, 5.0, 'Waiting in Vain')
(434, 4.0, 'The Handmaid')
(427, 4.0, 'Black and Blue : A Novel')
(427, 4.0, 'Black and Blue')
(427, 4.0, 'Black and Blue')
(427, 4.0, 'Black and Blue ')
(421, 4.5, 'Rebecca')
(420, 4.5, 'Rebecca')
(418, 4.0, 'The Runaway Jury')
(418, 4.0, 'The Runaway Jury')
(418, 4.0, 'The Runaway Jury')
(418, 4.0, 'The Runaway Jury')
(417, 3.5, 'Memnoch')
(417, 3.5, 'Memnoch the Devil : The Vampire Chronicles ')
(416, 3.5, 'The Last Time They Met')
(416, 3.5, 'The Last Time They Met : A Novel')
(414, 4.0, 'Empire Falls ')
(414, 4.0, 'Empire Falls')
(414, 4.0, 'Empire Falls')
(414, 4.5, 'One for the Money ')
(413, 3.5, 'The Vampire Armand ')
(413, 4.5, 'One For the Money : A Stephanie Plum Novel')
(408, 4.0, 'Things Fall Apart ')
(408, 4.0, 'Tribulation Force: The Continuing Drama of Those Left Behind ')
(408, 4.0, 'Tribulation Force ')
(404, 4.0, 'What Looks Like Crazy On An Ordinary Day')
(403, 4.0, 'Pandora : New Tales of the Vampires')
(402, 4.0, 'Plainsong')
(400, 4.5, 'The Color Purple')
(400, 4.5, 'The Color Purple: Tenth Anniversary Editon')
(400, 4.5, 'The Color Purple')
(398, 4.5, 'Illusions : The Adventures of a Reluctant Messiah')
(398, 4.5, 'Illusions')
(396, 4.0, 'Like Water for Chocolate')
(396, 4.5, 'Flowers in the Attic ')
(396, 4.0, 'Like Water for Chocolate : A Novel in Monthly Installments with Recipes')
(394, 4.0, 'Prodigal Summer LP')
(394, 4.0, 'Prodigal Summer')
(394, 4.0, 'Prodigal Summer: A Novel')
(394, 4.0, 'Prodigal Summer')
(390, 4.0, 'The Joy Luck Club')
(389, 4.0, 'The Gunslinger ')
(387, 4.0, 'Mystic River')
(384, 4.5, 'All Quiet on the Western Front')
(374, 5.0, 'A Knight in Shining Armor')
(374, 5.0, 'A Knight in Shining Armor')
(373, 4.5, 'Sloppy Firsts : A Novel')
(372, 5.0, 'A Knight in Shining Armor')
(371, 4.5, 'The Clan of the Cave Bear')
(371, 4.5, 'The Clan of the Cave Bear ')
(365, 4.0, 'Up Country')
(362, 4.5, 'Carrie')
(361, 3.5, 'Insomnia')
(360, 5.0, 'The Count of Monte Cristo ')
(359, 3.5, 'Hija de la fortuna')
(359, 3.5, 'Daughter of Fortune: A Novel')
(359, 3.5, 'Daughter of Fortune')
(357, 4.0, 'Choke')
(351, 4.5, 'The Firm')
(351, 4.5, 'The Firm')
(351, 4.5, 'The Firm')
(349, 3.5, 'Cerulean Sins: An Anita Blake')
(349, 3.5, 'Cerulean Sins')
(349, 3.5, 'Cerulean Sins ')
