 
(Cantidad de reviews, Score, Titulo)
(2026, 4.5, 'Memoirs of a Geisha : A Novel ')
(1443, 3.5, 'Cold Mountain')
(1443, 3.5, 'Cold Mountain : A Novel ')
(1443, 3.5, 'Cold Mountain')
(1443, 3.5, 'Cold Mountain ')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six ')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six')
(1421, 3.5, 'Rainbow Six')
(1377, 4.0, 'Life of Pi')
(1377, 4.0, 'Life of Pi')
(1377, 4.0, 'Life of Pi Cassette')
(1377, 4.0, 'Life of Pi: A Novel ')
(1377, 4.0, 'Life of Pi CD')
(1340, 4.5, 'I Know This Much Is True')
(1300, 4.0, 'The Notebook')
(1285, 4.0, 'The Poisonwood Bible')
(1285, 4.0, 'Poisonwood Bible')
(1224, 4.5, 'Where the Heart Is ')
(1191, 4.5, 'A Walk to Remember')
(1142, 4.0, 'The Red Tent ')
(1142, 4.0, 'The Red Tent ')
(1055, 2.5, 'The Bear and the Dragon ')
(1055, 2.5, 'The Bear and the Dragon')
(1055, 2.5, 'The Bear and the Dragon ')
(1055, 2.5, 'The Bear and the Dragon')
(1045, 4.0, 'Bridget Jones')
(995, 3.0, 'The Brethren')
(995, 3.0, 'The Brethren')
(994, 3.0, 'The Brethren')
(994, 3.0, 'The Brethren')
(994, 3.0, 'The Brethren')
(974, 4.5, 'A Prayer for Owen Meany ')
(966, 4.5, 'The Lord of the Rings')
(940, 3.0, 'The Pilot')
(933, 3.0, 'The Corrections')
(933, 3.0, 'The Corrections')
(871, 3.5, 'A Man in Full')
(871, 3.5, 'A Man in Full')
(871, 3.5, 'A Man in Full')
(871, 3.5, 'A Man in Full')
(801, 4.0, 'The God of Small Things')
(782, 4.5, 'The Fellowship of the Ring ')
(782, 4.5, 'The Fellowship of the Ring ')
(782, 4.5, 'The Fellowship of the Ring ')
(765, 4.5, 'It ')
(735, 2.0, 'The Teeth of the Tiger')
(732, 4.5, 'Catch')
(732, 4.5, 'Catch')
(730, 4.0, 'Cryptonomicon')
(730, 4.0, 'Cryptonomicon')
(730, 4.0, 'Cryptonomicon')
(730, 4.0, 'Cryptonomicon')
(713, 4.0, 'Girl with a Pearl Earring')
(713, 4.0, 'Girl With a Pearl Earring')
(713, 4.0, 'Girl with a Pearl Earring')
(712, 4.0, 'Girl With a Pearl Earring')
(712, 4.0, 'Girl with a Pearl Earring')
(702, 2.5, 'Shelters of Stone')
(702, 2.5, 'The Shelters of Stone ')
(702, 2.5, 'Shelters of Stone')
(702, 2.5, 'The Shelters of Stone ')
(702, 2.5, 'The Shelters of Stone ')
(696, 3.5, 'Dreamcatcher')
(666, 4.5, 'Sphere')
(654, 4.5, 'The Green Mile')
(654, 4.5, 'The Green Mile: The Complete Serial Novel')
(654, 4.5, 'The Green Mile: The Complete Serial Novel')
(654, 4.5, 'The Green Mile : The Complete Serial Novel')
(652, 4.0, 'Snow Falling on Cedars: Movie Tie')
(611, 4.5, 'Pillars Of The Earth')
