 
(Cantidad de reviews, Score, Titulo)
(1069, 4.0, 'Fahrenheit 451 ')
(992, 4.5, 'Animal Farm ')
(934, 4.0, 'F')
(933, 4.0, 'Great Gatsby')
(732, 4.5, 'Joseph Heller')
(609, 4.0, 'Old Man And The Sea ')
(586, 4.5, 'Jane Eyre ')
(556, 4.0, 'Morrison')
(544, 4.5, 'Silmarillion Poster Collection')
(541, 4.0, 'On the Road')
(541, 4.0, 'On the Road ')
(517, 4.5, 'The Grapes of Wrath : Text and Criticism')
(485, 3.5, 'Maxnotes the House on Mango Street ')
(413, 3.5, 'The Vampire Armand : The Vampire Chronicles ')
(349, 4.0, 'Heart of Darkness ')
(347, 4.0, 'Heart of Darkness: An Authoritative Text')
(343, 4.0, 'A Farewell to Arms ')
(317, 4.0, 'Frankenstein ')
(300, 4.0, 'The Awakening ')
(299, 4.0, 'Adventures of Huckleberry Finn: A Case Study in Critical Controversy ')
(276, 4.0, 'The Once and Future King')
(246, 4.5, 'The Dirt: Confessions of the World')
(246, 4.5, 'The Dirt : Confessions of the World')
(239, 4.0, 'All The Pretty Horses')
(219, 4.5, 'Anna Karenina: The Maude Translation : Backgrounds nd Sources Criticism ')
(212, 4.5, 'The Prince ')
(180, 4.5, 'Alice in Wonderland ')
(171, 4.0, 'The Heart Is a Lonely Hunter')
(164, 5.0, 'If Chins Could Kill: Confessions of a B Movie Actor')
(164, 5.0, 'If Chins Could Kill : Confessions of a B Movie Actor')
(163, 4.0, 'Death of a Salesman ')
(157, 4.0, 'Richard Wright')
(142, 4.0, 'Hamlet ')
(142, 4.0, 'Hamlet ')
(142, 4.0, 'Hamlet: The New Variorum Edition ')
(140, 4.0, 'MAXnotes for Metamorphosis ')
(127, 4.0, 'Live from New York: An Uncensored History of Saturday Night Live')
(127, 4.0, 'Live from New York Cass')
(127, 4.0, 'Live From New York CD')
(125, 4.5, 'The Dharma Bums')
(125, 4.5, 'Dharma Bums')
(124, 5.0, 'Halls of Fame: Essays')
(119, 3.5, 'KISS and Make')
(119, 3.5, 'KISS and Make')
(111, 4.0, 'Jude the Obscure ')
(111, 4.0, 'Jude the Obscure ')
(108, 4.0, 'Ultimate Unofficial Guide to the Mysteries of Harry Potter')
(107, 4.0, 'Ultimate Unofficial Guide to the Mysteries of Harry Potter')
(107, 3.5, 'A Connecticut Yankee in King Arthur')
(107, 5.0, 'The Charlie')
(105, 3.5, 'A Connecticut Yankee in King Arthur')
(105, 3.5, 'A Connecticut Yankee in King Arthur')
(105, 3.5, 'A Connecticut Yankee in King Arthur')
(93, 4.5, 'Please Kill Me: The Uncensored Oral History of Punk')
(92, 5.0, 'Rent')
(90, 4.5, 'Dubliners')
(90, 4.5, 'The House of Mirth ')
(90, 4.5, 'The House of Mirth: Authoritative Text Backgrounds and Contexts Criticism ')
(90, 3.5, 'Shakespeare: The Invention of the Human')
(89, 4.5, 'William Shakespeare')
(89, 4.5, 'William Shakespeare')
(88, 4.5, 'Gulliver')
(87, 4.5, 'Dante')
(87, 4.5, 'Dante')
(85, 4.0, 'Easy Riders')
(84, 4.0, 'Mansfield Park: Authoritative Text')
(81, 5.0, 'The River Why')
(81, 5.0, 'The River Why')
(80, 4.5, 'Mbi ')
(77, 4.0, 'Small Wonder: Essays')
(76, 4.5, 'Ex Libris : Confessions of a Common Reader')
(76, 4.5, 'Ex Libris : Confessions of a Common Reader')
(74, 4.0, 'Letters to a Young Conservative')
(73, 5.0, 'The Gulag Archipelago: 1918')
(73, 5.0, 'The Gulag Archipelago: 1918')
(73, 5.0, 'The Gulag Archipelago 1918')
(73, 5.0, 'The Star Trek Encyclopedia ')
(73, 5.0, 'The Star Trek Encyclopedia')
(69, 4.5, 'The Magical Worlds of Harry Potter: A Treasury of Myths')
(69, 4.5, 'The Magical Worlds of Harry Potter: A Treasury of Myths')
(69, 4.5, 'The Magical Worlds of Harry Potter')
(69, 4.0, 'Dave Matthews Band : Step Into the Light')
(68, 4.0, 'The Western Canon: The Books and School of the Ages')
(67, 4.5, 'Canterbury Tales ')
(67, 4.5, 'The Mysterious Island ')
(66, 4.0, 'Angry Blonde')
(66, 2.5, 'Ain')
(66, 2.5, 'Ain')
(66, 4.0, 'Angry Blonde')
(63, 4.5, 'The Patient ')
(61, 2.5, 'The Sexual Life of Catherine M')
(60, 4.0, 'Our Band Could Be Your Life: Scenes from the American Indie Underground 1981')
(60, 4.0, 'Our Band Could Be Your Life: Scenes from the American Indie Underground')
(59, 4.0, 'The Simpsons and Philosophy: The D')
(59, 4.0, 'Henry James')
(58, 4.5, 'The Annotated Lolita : Revised and Updated')
(57, 4.0, 'How to Read and Why')
(56, 4.5, 'Malory')
(56, 4.5, 'Le Morte D')
(56, 4.5, 'Le Morte d')
(56, 4.5, 'Le Morte Darthur: The Winchester Manuscript ')
(56, 4.0, 'How To Read and Why')
(56, 4.5, 'Le Morte d')
(56, 4.5, 'Morte d')
(56, 4.5, 'Le Morte D')
(56, 4.5, 'Malory')
(54, 4.0, 'Resurrecting Mingus')
(53, 4.0, 'Hooking Up')
(53, 3.0, 'Finding God in the Lord of the Rings')
(53, 4.0, 'Hooking Up')
(53, 3.5, 'Hollywood Babylon : The Legendary Underground Classic of Hollywood')
(52, 3.5, 'Fraud')
(51, 4.0, 'Positively 4th Street: The Lives and Times of Joan Baez')
(51, 4.0, 'Positively 4th Street: The Lives and Times of Joan Baez')
(50, 4.5, 'Sexual Personae : Art ')
(50, 4.5, 'Blink')
(49, 3.0, 'Stairway to Heaven: Led Zeppelin Uncensored')
(49, 4.0, 'The Partly Cloudy Patriot')
(49, 4.0, 'We Interrupt This Broadcast: The Events That Stopped Our Lives')
(48, 4.0, 'Great Books')
