 
(Cantidad de reviews, Score, Titulo)
(2287, 4.0, 'The Lovely Bones: A Novel')
(2280, 4.0, 'The Lovely Bones')
(2280, 4.0, 'The Lovely Bones')
(2280, 4.0, 'The Lovely Bones')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2033, 4.5, 'Memoirs of a Geisha')
(2033, 4.5, 'Memoirs of a Geisha')
(2026, 4.5, 'Memoirs of a Geisha : A Novel ')
(2026, 4.5, 'Memoirs of a Geisha')
(2026, 4.5, 'Memoirs of a Geisha : A Novel ')
(1432, 4.5, 'The Hobbit : The Enchanting Prelude to The Lord of the Rings')
(1432, 4.5, 'The Hobbit')
(1414, 4.5, 'To Kill a Mockingbird')
(1377, 4.0, 'Life of Pi')
(1377, 4.0, 'Life of Pi')
(1377, 4.0, 'Life of Pi Cassette')
(1377, 4.0, 'Life of Pi: A Novel ')
(1377, 4.0, 'Life of Pi CD')
(1340, 4.5, 'I Know This Much Is True ')
(1285, 4.0, 'The Poisonwood Bible')
(1285, 4.0, 'Poisonwood Bible')
(1285, 4.0, 'Poisonwood Bible')
(1285, 4.0, 'The Poisonwood Bible: A Novel')
(1186, 4.5, 'The Lord of the Rings and The Hobbit')
(1173, 4.5, '1984 ')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1155, 4.0, 'Divine Secrets of the Ya')
(1095, 4.0, 'Bag of Bones')
(1090, 4.0, 'Summer Sisters')
(1069, 4.0, 'Fahrenheit 451')
(1005, 4.0, 'A Painted House')
(1005, 4.0, 'A Painted House')
(1003, 4.5, 'Of Mice and Men : ')
(1002, 4.0, 'A Painted House')
(1000, 4.5, 'Of Mice and Men Cassette ')
(996, 4.0, 'The Secret Life of Bees')
(992, 4.5, 'Animal Farm ')
(992, 4.5, 'Animal Farm')
(986, 4.5, 'The Coldest Winter Ever')
(974, 4.5, 'A Prayer for Owen Meany ')
(974, 4.5, 'A Prayer for Owen Meany')
(974, 4.5, 'A Prayer for Owen Meany ')
(940, 3.0, 'The Pilot')
(935, 4.0, 'White Oleander')
(934, 4.0, 'The Great Gatsby')
(934, 4.0, 'Great Gatsby ')
(933, 3.0, 'The Corrections')
(933, 3.0, 'The Corrections: A Novel')
(871, 3.5, 'A Man in Full')
(829, 4.0, 'The Fountainhead')
