 
(Cantidad de reviews, Score, Titulo)
(5539, 4.5, 'Harry Potter and the Order of the Phoenix ')
(5539, 4.5, 'Harry Potter and the Order of the Phoenix ')
(5039, 5.0, 'Harry Potter and the Sorcerer')
(5039, 5.0, 'Harry Potter and the Sorcerer')
(5039, 5.0, 'Harry Potter and the Sorcerer')
(5039, 5.0, 'Harry Potter and the Sorcerer')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ')
(4922, 5.0, 'Harry Potter and the Goblet of Fire ')
(2620, 4.5, 'The Giver')
(2620, 4.5, 'The Giver')
(2620, 4.5, 'The Giver')
(2617, 4.5, 'The Giver')
(2617, 4.5, 'The Giver')
(2617, 4.5, 'The Giver')
(2617, 4.5, 'The Giver ')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets ')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets ')
(2402, 5.0, 'Harry Potter and the Prisoner of Azkaban ')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ')
(2311, 1.5, 'Crossroads of Twilight ')
(2301, 1.5, 'Crossroads of Twilight ')
(2301, 1.5, 'Crossroads of Twilight ')
(2167, 4.5, 'Ender')
(2167, 4.5, 'Enders Game')
(2166, 4.5, 'Ender')
(2166, 4.5, 'Ender')
(2160, 4.5, 'Ender')
(2160, 4.5, 'Ender')
(2160, 4.5, 'Ender')
(2160, 4.5, 'Ender')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind ')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(2072, 4.0, 'Left Behind: A Novel of the Earth')
(1726, 3.5, 'Timeline')
(1726, 3.5, 'Timeline')
(1726, 3.5, 'Timeline')
(1726, 3.5, 'Timeline')
(1726, 3.5, 'Timeline ')
(1688, 3.0, 'Path of Daggers ')
(1688, 3.0, 'The Path of Daggers ')
(1688, 3.0, 'The Path of Daggers : Book Eight of ')
(1688, 3.0, 'The Path of Daggers ')
(1688, 3.0, 'The Path of Daggers ')
(1688, 3.0, 'The Path of Daggers ')
(1502, 4.0, 'The Eye of the World : Book One of ')
(1502, 4.0, 'The Eye of the World : Book One of ')
(1501, 4.0, 'The Eye of the World ')
(1498, 4.0, 'The Eye of the World')
(1498, 4.0, 'The Eye of the World ')
(1452, 4.0, 'Eragon ')
(1433, 4.5, 'El Hobbit')
(1432, 4.5, 'Hobbit Cass')
(1432, 4.5, 'Hobbit CD Wd Bx')
(1432, 4.5, 'The Hobbit')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit')
(1432, 4.5, 'The Hobbit ')
(1432, 4.5, 'The Hobbit : The Enchanting Prelude to The Lord of the Rings')
(1432, 4.5, 'The Hobbit')
(1432, 4.5, 'The Hobbit ')
