 
(Cantidad de reviews, Score, Titulo)
(601, 5.0, 'Seabiscuit: An American Legend', '0449005615')
(601, 5.0, 'Seabiscuit: An American Legend', '0375417141')
(601, 5.0, 'Seabiscuit', '0739306391')
(601, 5.0, 'Seabiscuit', '0345465083')
(601, 5.0, 'Seabiscuit: An American Legend', '0375502912')
(601, 5.0, 'Seabiscuit: An American Legend ', '0783895267')
(417, 5.0, 'Flags of Our Fathers ', '1568951825')
(417, 5.0, 'Flags of Our Fathers', '0553712462')
(417, 5.0, 'Flags of Our Fathers', '0553527460')
(417, 5.0, 'Flags of Our Fathers: Heroes of Iwo Jima', '0553111337')
(417, 5.0, 'Flags of Our Fathers', '055338029')
(349, 5.0, 'Endurance: Shackleton', '1572701331')
(349, 5.0, 'Endurance: Shackleton', '1572702907')
(349, 5.0, 'Endurance: Shackleton', '0786708425')
(311, 5.0, 'James Cameron', '0006490603')
(311, 5.0, 'James Cameron', '0067575161')
(208, 5.0, 'The Code Book : The Evolution Of Secrecy From Mary', '0385495315')
(208, 5.0, 'The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography', '0385495323')
(159, 5.0, 'Forgotten Soldier : The Classic WWII Autobiography ', '0080374379')
(136, 5.0, 'Roots ', '0440174643')
(136, 5.0, 'Roots', '0385037872')
(114, 5.0, 'With the Old Breed: At Peleliu and Okinawa ', '1557507473')
(113, 5.0, 'With the Old Breed: At Peleliu and Okinawa', '0195067142')
(113, 5.0, 'The Making of the Atomic Bomb', '0684813785')
(107, 5.0, 'Alicia', '0553282182')
(106, 5.0, 'Fresh Wind', '0310211999')
(105, 5.0, 'Civil War: A Narrative ', '0394495179')
(105, 5.0, 'The Civil War: A Narrative ', '0394749138')
(95, 5.0, 'Six Wives of Henry VIII', '0802136834')
(89, 5.0, 'Sog: The Secret Wars of America', '0451195086')
(86, 5.0, 'Sara', '1887901280')
(83, 5.0, 'The Pianist: The Extraordinary True Story of One Man', '0312311354')
(83, 5.0, 'The Pianist : The Extraordinary True Story of One Man', '0312263767')
(83, 5.0, 'The Pianist', '0312244150')
(79, 5.0, 'Nicholas and Alexandra', '0345438310')
(79, 5.0, 'Nicholas and Alexandra', '0613371623')
(76, 5.0, 'Titanic: The Long Night', '059033123')
(76, 5.0, 'Peter the Great', '0345298063')
(75, 5.0, 'Chickenhawk', '0140072187')
(73, 5.0, 'The Gulag Archipelago: 1918', '0813332907')
(73, 5.0, 'The Gulag Archipelago: 1918', '0813332915')
(73, 5.0, 'All But My Life : A Memoir', '0809015803')
(73, 5.0, 'The Gulag Archipelago 1918', '0813332893')
