 
(Cantidad de reviews, Score, Titulo)
(1191, 4.5, 'A Walk to Remember')
(1191, 4.5, 'A Walk to Remember ')
(1189, 4.5, 'A Walk to Remember')
(492, 4.0, 'I Kissed Dating Goodbye: A New Attitude Toward Relationships And Romance')
(491, 4.0, 'I Kissed Dating Goodbye : A New Attitude Toward Relationships And Romance')
(491, 4.0, 'I Kissed Dating Goodbye : The Study Guide')
(461, 3.0, 'The Rules')
(338, 4.5, 'Guilty Pleasures ')
(316, 3.5, 'Men Are from Mars')
(315, 3.5, 'Men are from Mars Women are from Venus ')
(315, 3.5, 'Men are From Mars')
(315, 3.5, 'Men Are from Mars')
(315, 3.5, 'Men Are from Mars')
(275, 4.5, 'The Sweet Potato Queens')
(275, 4.5, 'The Sweet Potato Queens')
(267, 4.0, 'Forever ')
(266, 4.5, 'Forever')
(266, 4.5, 'Forever')
(259, 4.0, 'How to Succeed With Women')
(257, 4.0, 'How to Succeed With Women')
(253, 4.5, 'Blood and Chocolate')
(253, 4.5, 'Blood and Chocolate')
(242, 4.5, 'All')
(242, 4.5, 'All')
(241, 4.5, 'All')
(239, 4.5, 'How to Date Young Women: For Men over 35')
(237, 5.0, 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate')
(237, 5.0, 'The Five Love Languages: How to Express Heartfelt Commitment to Your Mate')
(220, 4.5, 'Why Men Love Bitches: From Doormat to Dreamgirl')
(201, 4.5, 'Princess in Love ')
(201, 4.5, 'Princess in Love ')
(201, 4.5, 'Princess in Love ')
(196, 5.0, 'Beauty : A Retelling of the Story of Beauty and the Beast')
(159, 4.5, 'What My Mother Doesn')
(159, 3.5, 'The Surrendered Wife : A Practical Guide to Finding Intimacy')
(159, 3.5, 'The Surrendered Wife : A Practical Guide To Finding Intimacy')
(156, 3.0, 'Sex and the City')
(156, 4.0, 'Just Ella')
(155, 3.0, 'Sex and the City')
(149, 4.5, 'Both Sides of Time ')
(139, 3.5, 'Rose Daughter')
(131, 4.5, 'Boy Meets Girl : Say Hello to Courtship')
(131, 4.5, 'Boy Meets Girl : Say Hello to Courtship')
(126, 4.5, 'Lovers')
(125, 4.5, 'Vampire Diaries ')
(119, 4.0, 'In the Meantime : Finding Yourself and the Love You Want')
(119, 4.0, 'In The Meantime : Finding Yourself And The Love You Want')
