 
(Cantidad de reviews, Score, Titulo)
(1001, 5.0, 'Ella Enchanted', '055352528')
(610, 5.0, 'The Chronicles of Narnia Box Set: Full', '0064409392')
(609, 5.0, 'Selections from The Chronicles of Narnia', '155994501')
(609, 5.0, 'The Complete Chronicles of Narnia', '0060281375')
(541, 5.0, 'Alanna : The First Adventure', '0689853238')
(540, 5.0, 'Alanna: The First Adventure ', '0679801146')
(476, 5.0, 'Sabriel ', '0064471837')
(476, 5.0, 'Sabriel', '0613035976')
(476, 5.0, 'Sabriel ', '0060273224')
(281, 5.0, 'Mossflower ', '0399215492')
(281, 5.0, 'Mossflower ', '0441005764')
(245, 5.0, 'Martin the Warrior ', '0441001866')
(245, 5.0, 'Martin the Warrior ', '0399226702')
(229, 5.0, 'The Last of the Really Great Whangdoodles 30th Anniversary Edition ', '0064403149')
(229, 5.0, 'The Last of the Really Great Whangdoodles ', '0060218053')
(229, 5.0, 'The Last of the Really Great Whangdoodles', '083356918')
(205, 5.0, 'Mattimeo ', '039921741')
(205, 5.0, 'Mattimeo ', '0380715309')
(205, 5.0, 'Mattimeo ', '0441006108')
(205, 5.0, 'Mattimeo ', '0142302406')
(157, 5.0, 'Unicorn Chronicles ', '0439108381')
(157, 5.0, 'Le Fin', '1591298741')
(147, 5.0, 'Point of Impact', '0553563513')
(145, 5.0, 'Tomorrow', '0395706734')
(134, 5.0, 'The Bellmaker ', '044100315')
(134, 5.0, 'The Bellmaker ', '0399228055')
(134, 5.0, 'The Bellmaker ', '0613045807')
(128, 5.0, 'Salamandastron ', '0613058186')
(128, 5.0, 'Salamandastron ', '0441000312')
(128, 5.0, 'Salamandastron ', '0399219927')
(126, 5.0, 'Daughters of the Moon: Goddess of the Night ', '0786806532')
(122, 5.0, 'The Rising Force ', '0590519220')
(115, 5.0, 'The Adventures of Captain Underpants ', '0590846280')
(115, 5.0, 'Adventures Of Captain Underpants ', '0590846272')
(108, 5.0, 'Page ', '0679889183')
(108, 5.0, 'Unicorn Chronicles : Song Of The Wanderer ', '0590459538')
(106, 5.0, 'Sailor Moon Supers', '1892213125')
(104, 5.0, 'The Vile Village ', '0060288906')
(104, 5.0, 'The Vile Village ', '0064408655')
(104, 5.0, 'The Vile Village ', '069452624')
(100, 5.0, 'The Mirror', '0915230151')
(95, 5.0, 'The Silver Crown', '0613371682')
(95, 5.0, 'The Silver Crown', '068984106')
(95, 5.0, 'The Silver Crown ', '0689841116')
(94, 5.0, 'The Blue Castle ', '0553280511')
(92, 5.0, 'The Transall Saga', '0440219760')
(92, 5.0, 'The Transall Saga', '0385321961')
(91, 5.0, 'The Merchant of Death ', '0743437314')
(85, 5.0, 'Talking to Dragons ', '0807206385')
(83, 5.0, 'The Black Stallion ', '0679813438')
(80, 5.0, 'Rifles for Watie', '006447030')
(78, 5.0, 'The Dark Rival ', '0590519255')
(77, 5.0, 'The Outsider ', '0613177185')
(76, 5.0, 'Harold and the Purple Crayon', '0060229365')
(76, 5.0, 'Harold and the Purple Crayon 50th Anniversary Edition ', '0064430227')
(76, 5.0, 'Harold and the Purple Crayon ', '0881036951')
(76, 5.0, 'Harold and the Purple Crayon 50th Anniversary Edition ', '0060229357')
(71, 5.0, 'David and the Phoenix', '1930900015')
