 
(Cantidad de reviews, Score, Titulo)
(5039, 5.0, 'Harry Potter and the Sorcerer', '043936213')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0807281956')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0807286001')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0786222727')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0590353403')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0807281751')
(5034, 5.0, 'Harry Potter and the Sorcerer', '0939173344')
(5034, 5.0, 'Harry Potter and the Sorcerer', '059035342')
(5033, 5.0, 'Harry Potter and the Sorcerer', '043920352')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0807282596')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0786229276')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0439139597')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0439139600')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0807282588')
(4922, 5.0, 'Harry Potter and the Goblet of Fire ', '0807286036')
(4921, 5.0, 'Harry Potter and the Goblet of Fire ', '0939173379')
(2422, 5.0, 'Harry Potter And The Chamber Of Secrets: Collectors Edition', '0439203538')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0439064864')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0439064872')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets', '0747545774')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0439420105')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0613287142')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0786222735')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0807281913')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets', '0939173352')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets ', '080728601')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets ', '0807281948')
(2402, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807282316')
(2402, 5.0, 'Harry Potter and the Prisoner of Azkaban', '0939173360')
(2402, 5.0, 'Harry Potter and the Prisoner of Azkaban', '0747545111')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0439136369')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0786222743')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807286028')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0613371062')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807282324')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0439136350')
(1004, 5.0, 'Ella Enchanted', '0060275111')
(1001, 5.0, 'Ella Enchanted ', '0064407055')
(1001, 5.0, 'Ella Enchanted ', '0060275103')
(1001, 5.0, 'Ella Enchanted', '055352528')
(701, 5.0, 'Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control', '0060937645')
(701, 5.0, 'Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control', '0060394064')
(701, 5.0, 'Taking Charge of Your Fertility: The Definitive Guide to Natural Birth Control and Pregnancy Achievement', '0060950536')
(673, 5.0, 'Have a Nice Day', '0061031011')
(671, 5.0, 'Have a Nice Day', '069452395')
