 
(Cantidad de reviews, Score, Titulo)
(1004, 5.0, 'Ella Enchanted', '0060275111')
(1001, 5.0, 'Ella Enchanted ', '0064407055')
(1001, 5.0, 'Ella Enchanted ', '0060275103')
(1001, 5.0, 'Ella Enchanted', '055352528')
(610, 5.0, 'Chronicles of Narnia Audio Collection', '0694524662')
(610, 5.0, 'The Chronicles of Narnia Box Set: Full', '0064409392')
(610, 5.0, 'The Chronicles of Narnia: The Magician', '0064405370')
(609, 5.0, 'The Chronicles of Narnia Boxed Set', '0064471195')
(609, 5.0, 'Complete Chronicles of Narnia', '0066238501')
(609, 5.0, 'The Chronicles of Narnia ', '0060244887')
(609, 5.0, 'Selections from The Chronicles of Narnia', '155994501')
(609, 5.0, 'The Complete Chronicles of Narnia', '0060281375')
(360, 5.0, 'The Count of Monte Cristo ', '0679601996')
(360, 5.0, 'The Count of Monte Cristo', '9626340398')
(360, 5.0, 'The Count of Monte Cristo ', '014044615')
(360, 5.0, 'The Count of Monte Cristo ', '962634539')
(360, 5.0, 'The Count of Monte Cristo ', '0192833952')
(360, 5.0, 'The Count of Monte Cristo ', '0553213504')
(360, 5.0, 'The Count of Monte Cristo', '0812565681')
(360, 5.0, 'The Count of Monte Cristo ', '0451521951')
(360, 5.0, 'The Count of Monte Cristo', '0613171527')
(294, 5.0, 'Lonesome Dove : A Novel ', '068487122')
(236, 5.0, 'The Screwtape Letters ', '0060652896')
(236, 5.0, 'Screwtape Letters', '0060093676')
(236, 5.0, 'Screwtape Letters', '0060093668')
(236, 5.0, 'The Screwtape Letters', '0060652934')
(210, 5.0, 'Les Miserables a New Unabridged Translation ', '0451525264')
(207, 5.0, 'The Neverending Story', '0613028155')
(192, 5.0, 'The Prophet ', '1853264857')
(132, 5.0, 'Complete Anne of Green Gable Boxed Set ', '0553609416')
(124, 5.0, 'Halls of Fame: Essays', '1555973779')
(124, 5.0, 'Halls of Fame', '1555973140')
(116, 5.0, 'The High King ', '088103097')
(116, 5.0, 'The High King ', '0440435749')
(109, 5.0, 'Mandy', '1590070208')
(90, 5.0, 'D', '1885608152')
(80, 5.0, 'Rifles for Watie', '006447030')
(80, 5.0, 'Rifles for Watie', '0690049072')
(70, 5.0, 'Best Christmas Pageant Ever', '1559944978')
(69, 5.0, 'The Voyage of the Dawn Treader', '0898458749')
(69, 5.0, 'The Chronicles of Narnia: Voyage of the Dawn Treader ', '055352495')
(66, 5.0, 'Ficciones', '8420633127')
(64, 5.0, 'The Lorax', '0679822739')
(60, 5.0, 'Anne of the Island ', '0848805852')
(60, 5.0, 'Anne of the Island', '0553213172')
(60, 5.0, 'Anne of the Island ', '0140367772')
(60, 5.0, 'Anne of the Island ', '0553452010')
(56, 5.0, 'The Brothers Karamazov', '0374528373')
(53, 5.0, 'King of the Wind', '055347829')
(50, 5.0, 'Twenty Years After ', '0192838431')
(50, 5.0, 'Twenty Years After', '0899682294')
(50, 5.0, 'Gift from the Sea', '0679732411')
(44, 5.0, 'Pieces of My Heart: Writings Inspired by Animals and Nature', '074141015')
(43, 5.0, 'The Castle of Llyr ', '0440411254')
(43, 5.0, 'The Tenant of Wildfell Hall ', '0192834622')
(42, 5.0, 'Julie', '0064407217')
(42, 5.0, 'Julie', '0060274069')
(42, 5.0, 'Julie', '0060274077')
(41, 5.0, 'Partners in Necessity', '1892065010')
(40, 5.0, 'Complete Stories and Poems of Edgar Allan Poe', '0385074077')
(38, 5.0, 'Caps for Sale: A Tale of a Peddler', '0694700045')
(38, 5.0, 'The Sot', '0385240880')
(37, 5.0, 'Incidents in the Life of a Slave Girl ', '0393976378')
