 
(Cantidad de reviews, Score, Titulo)
(601, 5.0, 'Seabiscuit: An American Legend')
(601, 5.0, 'Seabiscuit: An American Legend')
(601, 5.0, 'Seabiscuit')
(601, 5.0, 'Seabiscuit')
(601, 5.0, 'Seabiscuit: An American Legend')
(601, 5.0, 'Seabiscuit: An American Legend ')
(417, 5.0, 'Flags of Our Fathers ')
(417, 5.0, 'Flags of Our Fathers')
(417, 5.0, 'Flags of Our Fathers')
(417, 5.0, 'Flags of Our Fathers: Heroes of Iwo Jima')
(417, 5.0, 'Flags of Our Fathers')
(349, 5.0, 'Endurance: Shackleton')
(349, 5.0, 'Endurance: Shackleton')
(349, 5.0, 'Endurance: Shackleton')
(311, 5.0, 'James Cameron')
(311, 5.0, 'James Cameron')
(208, 5.0, 'The Code Book : The Evolution Of Secrecy From Mary')
(208, 5.0, 'The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography')
(159, 5.0, 'Forgotten Soldier : The Classic WWII Autobiography ')
(136, 5.0, 'Roots ')
(136, 5.0, 'Roots')
(114, 5.0, 'With the Old Breed: At Peleliu and Okinawa ')
(113, 5.0, 'With the Old Breed: At Peleliu and Okinawa')
(113, 5.0, 'The Making of the Atomic Bomb')
(107, 5.0, 'Alicia')
(106, 5.0, 'Fresh Wind')
(105, 5.0, 'Civil War: A Narrative ')
(105, 5.0, 'The Civil War: A Narrative ')
(95, 5.0, 'Six Wives of Henry VIII')
(89, 5.0, 'Sog: The Secret Wars of America')
(86, 5.0, 'Sara')
(83, 5.0, 'The Pianist: The Extraordinary True Story of One Man')
(83, 5.0, 'The Pianist : The Extraordinary True Story of One Man')
(83, 5.0, 'The Pianist')
(79, 5.0, 'Nicholas and Alexandra')
(79, 5.0, 'Nicholas and Alexandra')
(76, 5.0, 'Titanic: The Long Night')
(76, 5.0, 'Peter the Great')
(75, 5.0, 'Chickenhawk')
(73, 5.0, 'The Gulag Archipelago: 1918')
(73, 5.0, 'The Gulag Archipelago: 1918')
(73, 5.0, 'All But My Life : A Memoir')
(73, 5.0, 'The Gulag Archipelago 1918')
(73, 5.0, 'All but My Life')
(73, 5.0, 'Fate is the Hunter')
(73, 5.0, 'The Gulag Archipelago: 1918')
(71, 5.0, 'My Family and Other Animals ')
(69, 5.0, 'To Sleep with the Angels : A Story of a Fire')
(69, 5.0, 'To Sleep with the Angels : The Story of a Fire ')
(66, 5.0, 'Iron Coffins: A Personal Account of the German U')
(66, 5.0, 'Iron Coffins: A Personal Account of the German U')
(65, 5.0, 'ABOUT FACE : THE ODYSSEY OF AN AMERICAN WARRIOR')
(64, 5.0, 'Path Between The Seas : The Creation of the Panama Canal')
(64, 5.0, 'One Nation: America Remembers September 11')
(64, 5.0, 'In the Company of Heroes: A True Story')
(64, 5.0, 'In the Company of Heroes : The True Story of Black Hawk Pilot Michael Durant and the Men Who Fought and Fell at Mogadishu')
(64, 5.0, 'In the Company of Heroes : The True Story of Black Hawk Pilot Michael Durant and the Men Who Fought and Fell at Mogadishu')
(62, 5.0, 'The Warrior Elite : The Forging of Seal Class 228')
(62, 5.0, 'The Warrior Elite : The Forging of SEAL Class 228')
(62, 5.0, 'QED: The Strange Theory of Light and Matter')
(60, 5.0, 'The Longest Day: The Classic Epic of D')
(59, 5.0, 'In My Hands : Memories of a Holocaust Rescuer')
(57, 5.0, 'The Glory of Their Times')
(57, 5.0, 'The Glory of Their Times : The Story of Baseball Told By the Men Who Played It')
(57, 5.0, 'The Glory of Their Times')
(56, 5.0, 'The Face of Battle : A Study of Agincourt')
(56, 5.0, 'The Face of Battle')
(54, 5.0, 'BRIDGE TOO FAR : THE CLASSIC HISTORY OF THE GREATEST AIRBORNE BATTLE OF WORLD WAR II')
(51, 5.0, 'JOHNSTOWN FLOOD')
(50, 5.0, 'Afghanistan: A Russian Soldier')
(49, 5.0, 'Stopped at Stalingrad: The Luftwaffe and Hitler')
(45, 5.0, 'Journey Through Genius: The Great Theorems of Mathematics')
(44, 5.0, 'German Boy: A Child in War')
(44, 5.0, 'German Boy: A Refugee')
(43, 5.0, 'The Gulf Between Us : Love and Terror in Desert Storm')
(43, 5.0, 'The Cruel Sea')
(43, 5.0, 'Cartoon History of the Universe 1 ')
(42, 5.0, 'Seven Roads to Hell : A Screaming Eagle at Bastogne')
(42, 5.0, 'Seven Roads to Hell : A Screaming Eagle at Bastogne')
(42, 5.0, 'The Day the World Came to Town : 9')
(41, 5.0, 'Man')
(41, 5.0, 'Unsung Valor: A GI')
(40, 5.0, 'Complicated Women: Sex and Power in Pre')
(40, 5.0, 'The Inextinguishable Symphony:  A True Story of Music and Love in Nazi Germany')
(40, 5.0, 'Complicated Women : Sex and Power in Pre')
(40, 5.0, 'Walking with the Wind: A Memoir of the Movement')
(40, 5.0, 'Son of the Morning Star : Custer and The Little Bighorn')
(40, 5.0, 'Great Escape')
(40, 5.0, 'The Ways We Choose: Lessons for Life from a POW')
(40, 5.0, 'The Inextinguishable Symphony: A True Story of Music and Love in Nazi Germany')
(40, 5.0, 'Seven Pillars of Wisdom : A Triumph')
(38, 5.0, 'Hitler')
(38, 5.0, 'In Search of the Miraculous: Fragments of an Unknown Teaching ')
(38, 5.0, 'Incidents in the Life of a Slave Girl')
(38, 5.0, 'Thunder Below')
(38, 5.0, 'Thunder Below')
(37, 5.0, 'The Price of Glory : Verdun 1916')
(37, 5.0, 'Absolut Book: The Absolut Vodka Advertising Story')
(37, 5.0, 'Reflections in Bullough')
(37, 5.0, 'Scipio Africanus: Greater Than Napoleon')
(36, 5.0, 'I Will Bear Witness : A Diary of the Nazi Years')
(36, 5.0, 'Creeker: A Woman')
(35, 5.0, 'Guadalcanal : The Definitive Account of the Landmark Battle')
(35, 5.0, 'The LANDMARK THUCYDIDES')
(35, 5.0, 'The Landmark Thucydides : A Comprehensive Guide to the Peloponnesian War')
(34, 5.0, 'Hack Attacks Encyclopedia: A Complete History of Hacks')
(34, 5.0, 'Five Years to Freedom : The True Story of a Vietnam P')
(34, 5.0, 'The Last Lion : Winston Spencer Churchill: Visions of Glory')
(34, 5.0, 'The Illusion of Life: Disney Animation')
(33, 5.0, 'When Broken Glass Floats: Growing Up Under the Khmer Rouge')
(33, 5.0, 'Class')
(33, 5.0, 'Dead in Their Tracks: Crossing America')
(33, 5.0, 'Heroes at Home: Help and Hope for America')
(33, 5.0, 'Ally to Adversary: An Eyewitness Account of Iraq')
(33, 5.0, 'When Broken Glass Floats: Growing Up Under the Khmer Rouge')
(32, 5.0, 'A Conflict of Visions: Ideological Origins of Political Struggles')
(32, 5.0, 'Lenin')
(32, 5.0, 'The Book of Tiki')
(32, 5.0, 'Five Chimneys')
(31, 5.0, 'A Stillness at Appomattox : The Army of the Potomac Trilogy ')
(31, 5.0, 'Stars in Their Courses : The Gettysburg Campaign')
(31, 5.0, 'Freedom in Exile')
(31, 5.0, 'Out Of The Darkness: The Story of Mary Ellen Wilson')
(31, 5.0, 'Fire and Ice : The Korean War')
(31, 5.0, 'Fire and Ice : The Korean War')
(30, 5.0, 'Loose Balls')
(30, 5.0, 'War Letters: Extraordinary Correspondence from American Wars')
(30, 5.0, 'I Served')
(30, 5.0, 'War Letters : Extraordinary Correspondence from American Wars')
(30, 5.0, 'War Letters : Extraordinary Correspondence from American Wars')
(30, 5.0, 'Daughter of Persia : A Woman')
(30, 5.0, 'War Letters: Extraordinary Correspondence from American Wars')
(30, 5.0, 'Now Pitching for the Yankees: Spinning the News for Mickey')
(30, 5.0, 'War Letters : Extraordinary Correspondence from American Wars')
(29, 5.0, 'Saving Monticello : The Levy Family')
(29, 5.0, 'Low Level Hell')
(29, 5.0, 'Cartoon History of the Universe 2')
(29, 5.0, 'Wings of Morning: The Story of the Last American Bomber Shot Down over Germany in World War II')
(28, 5.0, 'Hot Sour Salty Sweet: A Culinary Journey Through Southeast Asia')
(28, 5.0, 'LAST BATTLE : THE CLASSIC HISTORY OF THE BATTLE FOR BERLIN')
(28, 5.0, 'PrairyErth ')
(28, 5.0, 'Because of Romek: A Holocaust Survivor')
(28, 5.0, 'The Last Lion: Winston Spencer Churchill: Alone')
(28, 5.0, 'Facing The Lion: Memoirs of a Young Girl in Nazi Europe')
(27, 5.0, 'King of Hearts: The True Story of the Maverick Who Pioneered Open Heart Surgery')
(27, 5.0, 'The Marines')
(27, 5.0, 'The Houses That Sears Built')
(27, 5.0, 'Fighter Combat: Tactics and Maneuvering')
(27, 5.0, 'The Last Lion: Winston Spencer Churchill')
(27, 5.0, 'The Black Devil Brigade: The True Story of the First Special Service Force in World War II')
(27, 5.0, 'ANNE FRANK REMEMBERED')
(27, 5.0, 'Recipes and Remembrances from an Eastern Mediterranean Kitchen: A Culinary Journey through Syria')
(27, 5.0, 'The Ascent of Man')
(26, 5.0, 'The Sunflower: On the Possibilities and Limits of Forgiveness ')
(26, 5.0, 'Acceptable Loss')
(26, 5.0, 'The Evolution of Cooperation')
(26, 5.0, 'Man Is Wolf to Man: Surviving the Gulag')
(26, 5.0, 'Fortunate Son : The Autobiography Of Lewis B')
(26, 5.0, 'Bad Astronomy: Misconceptions and Misuses Revealed')
(26, 5.0, 'Arctic Crossing : A Journey Through the Northwest Passage and Inuit Culture')
(26, 5.0, 'Fortunate Son: The Autobiography of Lewis B')
(26, 5.0, 'Mary')
(26, 5.0, 'I Will Bear Witness 1942')
(26, 5.0, 'Hal Lifson')
(26, 5.0, 'I Will Bear Witness 1942')
(25, 5.0, 'TECHNIQUES OF MEDIEVAL ARMOUR REPRODUCTION: THE 14TH CENTURY')
(25, 5.0, 'Call Each River Jordan: A Novel of Historical Suspense')
(25, 5.0, 'All on Fire: William Lloyd Garrison and the Abolition of Slavery')
(25, 5.0, 'Warrior: An Autobiography')
(25, 5.0, 'The Children')
(25, 5.0, 'The Eleven Days of Christmas: America')
(25, 5.0, 'The Eleven Days of Christmas: America')
(25, 5.0, 'The Dark Valley : A Panorama of the 1930s')
(25, 5.0, 'The Discovery of the Titanic')
(25, 5.0, 'Mexico : The Beautiful Cookbook ')
(25, 5.0, 'The Discovery of the Titanic')
(25, 5.0, 'The Dark Valley : A Panorama of the 1930s')
(25, 5.0, 'Quisqueya LA Bella: The Dominican Republic in Historical and Cultural Perspective ')
(25, 5.0, 'Guns Up')
(25, 5.0, 'Democracy In America ')
(25, 5.0, 'Of Water and the Spirit: Ritual')
(25, 5.0, 'Democracy in America')
(25, 5.0, 'The Rommel Papers ')
(25, 5.0, 'The Arctic Grail: The Quest for the Northwest Passage and The North Pole')
(24, 5.0, 'Coming of Age in the Milky Way')
(24, 5.0, 'The Golden Milestone: Over 2500 Years of Italian Contributions to Civilization')
(24, 5.0, 'A Durable Peace: Israel and Its Place Among the Nations')
(24, 5.0, 'Samurai')
(24, 5.0, 'Frida : A Biography of Frida Kahlo')
(24, 5.0, 'Storming Heaven: Lsd and the American Dream')
(24, 5.0, 'Samurai')
(24, 5.0, 'The Fire Next Time ')
(24, 5.0, 'The Second World War ')
(24, 5.0, 'Gracelin O')
(24, 5.0, 'Frida: A Biography of Frida Kahlo')
(24, 5.0, 'Subway Art')
(24, 5.0, 'Send In The Waco Killers: Essays on the Freedom Movement')
(23, 5.0, 'It Happened in Brooklyn: An Oral History of Growing Up in the Borough in the 1940s')
(23, 5.0, 'Dr Folkman')
(23, 5.0, 'Exploring the Titanic: Scott Foresman Reading Classroom Library ')
(23, 5.0, 'Ultimate Spy Book')
(23, 5.0, 'Journey into the Whirlwind ')
(23, 5.0, 'Wisconsin Death Trip ')
(23, 5.0, 'The Cenotes of the Riviera Maya')
(23, 5.0, 'PARTING THE WATERS')
(23, 5.0, 'Journey into the Whirlwind ')
(23, 5.0, 'Exploring the Titanic')
(23, 5.0, 'Women of Courage: Inspiring Stories from the Women Who Lived Them')
(23, 5.0, 'Taoist Master Chuang')
(22, 5.0, 'The Plutonium Files : America')
(22, 5.0, 'The Kidnapping of Edgardo Mortara')
(22, 5.0, 'Up Front')
(22, 5.0, 'Reach for the Sky: The Story of Douglas Bader')
(22, 5.0, 'Edie: American Girl')
(22, 5.0, 'Arabian Sands ')
(22, 5.0, 'Black Edelweiss: A Memoir of Combat and Conscience by a Soldier of the Waffen')
(22, 5.0, 'Turbulence on the Ground ')
(22, 5.0, 'Belfast Diary : War as a Way of Life')
(21, 5.0, 'Chasing Rainbows: Collecting American Indian Trade ')
(21, 5.0, 'Utmost Savagery: The Three Days of Tarawa')
(21, 5.0, 'This House of Sky: Landscapes of a Western Mind')
(21, 5.0, 'Nine Minutes')
(21, 5.0, 'Asian American Dreams : The Emergence of an American People')
(21, 5.0, 'An Uncommon Friendship: From Opposite Sides of the Holocaust')
(21, 5.0, 'Warfare in the Classical World: An Illustrated Encyclopedia of Weapons')
(21, 5.0, 'Leap into Darkness : Seven Years on the Run in Wartime Europe')
(21, 5.0, 'The Battles for Spotsylvania Court House and the Road to Yellow Tavern May 7')
(21, 5.0, 'Sun Dancing: A Spiritual Journey on the Red Road')
(21, 5.0, 'Utmost Savagery')
(21, 5.0, 'Those Devils in Baggy Pants')
(21, 5.0, 'The Frontiersmen: A Narrative')
(21, 5.0, 'DNA : The Secret of Life')
(21, 5.0, 'Nine Minutes')
(21, 5.0, 'Nine Minutes')
(21, 5.0, 'Titanic: Triumph and Tragedy')
(21, 5.0, 'The Autobiography of a Tibetan Monk')
