 
(Cantidad de reviews, Score, Titulo)
(441, 5.0, 'Waiting in Vain', '0345425529')
(360, 5.0, 'The Count of Monte Cristo', '9626340398')
(360, 5.0, 'The Count of Monte Cristo ', '0192833952')
(294, 5.0, 'Lonesome Dove : A Novel', '0684857529')
(294, 5.0, 'Lonesome Dove Vol', '1590400461')
(294, 5.0, 'Lonesome Dove Vol', '1590400453')
(192, 5.0, 'The Prophet ', '1853264857')
(174, 5.0, 'Homeland ', '0880389052')
(159, 5.0, 'The Lords of Discipline', '0553381563')
(153, 5.0, 'These is My Words', '0060987510')
(109, 5.0, 'Mandy', '1590070208')
(107, 5.0, 'Here be Dragons', '0345382846')
(81, 5.0, 'The River Why', '0553344862')
(70, 5.0, 'Requiem for a Dream', '1560252480')
(68, 5.0, 'Narcissus and Goldmund', '0374506841')
(68, 5.0, 'Narcissus and Goldmund', '0553275860')
(65, 5.0, 'Unfinished Tales of Numenor and Middle', '0618154043')
(65, 5.0, 'Unfinished Tales of Numenor and Middle', '0618154051')
(65, 5.0, 'Rainbow Boys', '0689841000')
(64, 5.0, 'La fiesta del chivo ', '8466303316')
(64, 5.0, 'Fields of Fire', '0553583859')
(62, 5.0, 'Candy', '0345423879')
(61, 5.0, 'The Warmest December', '0525945644')
(56, 5.0, 'The Locket : A Novel ', '0684834731')
(56, 5.0, 'The Brothers Karamazov', '0374528373')
(54, 5.0, 'The Price of Passion', '0671042203')
(53, 5.0, 'Handling Sin', '1570717567')
(50, 5.0, 'Twenty Years After ', '0192838431')
(49, 5.0, 'The Yokota Officers Club : A Novel ', '0345452771')
(49, 5.0, 'The Yokota Officers Club', '037541214')
(45, 5.0, 'Angel Fire', '0965970124')
(45, 5.0, 'Your Blues Ain', '0345401123')
(44, 5.0, 'Taken for Granted', '1583143572')
(43, 5.0, 'The Tenant of Wildfell Hall ', '0192834622')
(43, 5.0, 'If I Never Get Back', '0452283728')
(41, 5.0, 'The Third Policeman', '156478214')
(40, 5.0, 'A Christmas Dozen: Christmas Stories to Warm the Heart ', '096492837')
(40, 5.0, 'In Open Spaces', '0060084340')
(38, 5.0, 'Leaving Atlanta', '0446528307')
(38, 5.0, 'The Sot', '0385240880')
(37, 5.0, 'The Resurrectionists: A Novel', '0743229045')
(37, 5.0, 'Lone Wolf and Cub 1: The Assassin', '1569715025')
(35, 5.0, 'The Bondwoman', '1586212729')
(35, 5.0, 'The Complete Stories', '0805210555')
(35, 5.0, 'The Bondwoman', '0446690295')
(35, 5.0, 'The Bondwoman', '0446530085')
(33, 5.0, 'The Second Coming of Lucy Hatch : A Novel', '0060081651')
(33, 5.0, '1984 : Centennial Edition', '0452284236')
(33, 5.0, 'Heart of the Beast : A Novel', '0743211790')
(33, 5.0, 'Heart of the Beast: A Novel', '0743211804')
(31, 5.0, 'The Thirteen Clocks', '1590070259')
(30, 5.0, 'Eric', '0060956372')
(29, 5.0, 'A Parchment of Leaves', '1565123670')
(29, 5.0, 'Blind Spot', '0553581759')
(29, 5.0, 'Things Unspoken', '0811831574')
(29, 5.0, 'The Decameron ', '0192836919')
(29, 5.0, 'The October Country', '0345407857')
(29, 5.0, 'Spring Snow ', '0679722416')
(29, 5.0, 'The October Country', '034532448')
(28, 5.0, 'Defining Fragments', '156167592')
(28, 5.0, 'This One and Magic Life', '0380975998')
