 
(Cantidad de reviews, Score, Titulo)
(5039, 5.0, 'Harry Potter and the Sorcerer', '0807281956')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0807286001')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0786222727')
(5039, 5.0, 'Harry Potter and the Sorcerer', '0807281751')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0807282596')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0786229276')
(4924, 5.0, 'Harry Potter and the Goblet of Fire ', '0807282588')
(4922, 5.0, 'Harry Potter and the Goblet of Fire ', '0807286036')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0786222735')
(2422, 5.0, 'Harry Potter and the Chamber of Secrets ', '0807281913')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets ', '080728601')
(2419, 5.0, 'Harry Potter and the Chamber of Secrets ', '0807281948')
(2402, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807282316')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0786222743')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807286028')
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807282324')
(610, 5.0, 'Chronicles of Narnia Audio Collection', '0694524662')
(609, 5.0, 'Selections from The Chronicles of Narnia', '155994501')
(540, 5.0, 'Alanna ', '0613023757')
(540, 5.0, 'Alanna: The First Adventure ', '0679801146')
(476, 5.0, 'Sabriel ', '0064471837')
(476, 5.0, 'Sabriel', '0613035976')
(476, 5.0, 'Sabriel ', '0060273224')
(372, 5.0, 'A Knight in Shining Armor', '0743521218')
(283, 5.0, 'The Ultimate Hitchhiker', '0517149257')
(281, 5.0, 'Mossflower ', '0399215492')
(270, 5.0, 'Dealing with Dragons: The Enchanted Forest Chronicles', '0152229000')
(270, 5.0, 'Dealing With Dragons ', '0590457225')
(270, 5.0, 'Dealing with Dragons: The Enchanted Forest Chronicles', '015204566')
(245, 5.0, 'Martin the Warrior ', '0399226702')
(236, 5.0, 'Wild Magic ', '0689317611')
(236, 5.0, 'Wild Magic ', '067988288')
(223, 5.0, 'The Dark Tower Gift Collection', '1880418401')
(223, 5.0, 'The Dark Tower', '0452155614')
(223, 5.0, 'The Dark Tower', '0451935543')
(208, 5.0, 'Soulforge: A Novel ', '0786906456')
(208, 5.0, 'The Soulforge ', '0786913142')
(207, 5.0, 'The Neverending Story', '0140074317')
(207, 5.0, 'The Neverending Story ', '0140386335')
(207, 5.0, 'The Neverending Story', '0613028155')
(207, 5.0, 'The Neverending Story', '0525457585')
(205, 5.0, 'Mattimeo ', '039921741')
(196, 5.0, 'Beauty : A Retelling of the Story of Beauty and the Beast', '0060241497')
(179, 5.0, 'The House of the Scorpion', '0689852223')
(178, 5.0, 'The Dark Is Rising Sequence: Silver on the Tree', '0020425651')
(174, 5.0, 'Homeland ', '0880389052')
(166, 5.0, 'The Andalite Chronicles ', '0590109715')
(165, 5.0, 'The Invasion ', '0590629778')
(149, 5.0, 'Bridge of Birds : A Novel of an Ancient China That Never Was', '0345321383')
(134, 5.0, 'The Bellmaker ', '0399228055')
(131, 5.0, 'Companions of the Night', '0152166696')
(128, 5.0, 'Salamandastron ', '0399219927')
(126, 5.0, 'Daughters of the Moon: Goddess of the Night ', '0786806532')
(125, 5.0, 'Remember Me ', '0743428013')
(122, 5.0, 'The Rising Force ', '0590519220')
(122, 5.0, 'The Book of Ti', '0786889209')
(118, 5.0, 'Lord of Light', '0380014033')
(117, 5.0, 'City of the Dead ', '0671024418')
(116, 5.0, 'The High King ', '088103097')
(116, 5.0, 'The High King ', '0440435749')
(115, 5.0, 'The Adventures of Captain Underpants ', '0590846280')
(115, 5.0, 'The Adventures of Captain Underpants', '0613044363')
(112, 5.0, 'Nausicaa of the Valley of Wind : Perfect Collection ', '1569312117')
(112, 5.0, 'Nausicaa Of The Valley Of The Wind : Perfect Collection Boxed Set ', '1569313482')
(112, 5.0, 'Nausicaa of the Valley of Wind : Perfect Collection ', '1569311110')
(112, 5.0, 'Nausicaa of the Valley of Wind ', '1569310955')
(112, 5.0, 'Nausicaa of the Valley of Wind : Perfect Collection ', '1569310963')
(112, 5.0, 'Nausicaa of the Valley of Wind : Perfect Collection ', '1569310874')
(110, 5.0, 'Ranma 1', '092927993')
(109, 5.0, 'Emperor Mage ', '0679882901')
(109, 5.0, 'Emperor Mage: The Immortals ', '0613018559')
(104, 5.0, 'Howl', '006441034')
(103, 5.0, 'Howl', '0688062334')
(103, 5.0, 'Howl', '0060298812')
(100, 5.0, 'The Departure ', '0590494511')
(99, 5.0, 'The China Garden', '0380732289')
(97, 5.0, 'A Voice in the Wind ', '1886463166')
(96, 5.0, 'Inu', '1569312621')
(95, 5.0, 'Huntress Night World 7 ', '0671014757')
(94, 5.0, 'Magic', '0886774268')
(92, 5.0, 'The Transall Saga', '0385321961')
(91, 5.0, 'The Merchant of Death ', '0743437314')
(91, 5.0, 'Shadow Castle: Expanded Edition', '0595092969')
(89, 5.0, 'The Black Cauldron ', '0440406498')
(87, 5.0, 'The Power ', '0061067199')
(85, 5.0, 'Talking to Dragons: The Enchanted Forest Chronicles', '0152046917')
(85, 5.0, 'The Kingdoms ', '1575450607')
(85, 5.0, 'Talking to Dragons ', '0807206385')
(85, 5.0, 'Talking to Dragons ', '0785761284')
(85, 5.0, 'Talking to Dragons ', '0590484753')
(83, 5.0, 'The Seer and the Sword', '0440229774')
(83, 5.0, 'The Seer and the Sword', '0823415325')
(82, 5.0, 'Secret Circle Vol I: The Initiation ', '0061067121')
(81, 5.0, 'Animorphs ', '0590997289')
(80, 5.0, 'Prey ', '0553565559')
(79, 5.0, 'The Living Blood', '0671040847')
(78, 5.0, 'The Dark Rival ', '0590519255')
(77, 5.0, 'The Outsider ', '0613177185')
(77, 5.0, 'The Outsider', '0671774662')
(73, 5.0, 'The Star Trek Encyclopedia ', '0671034758')
(73, 5.0, 'The Star Trek Encyclopedia ', '0671536079')
(73, 5.0, 'The Star Trek Encyclopedia', '0671536095')
(71, 5.0, 'Wise Child', '0394825985')
(70, 5.0, 'Test of the Twins ', '0786902647')
(70, 5.0, 'The Seven Songs of Merlin ', '039923019')
(70, 5.0, 'Seven Songs of Merlin', '0441009476')
(70, 5.0, 'The Seven Songs of Merlin ', '0441007015')
(70, 5.0, 'Amy Number Seven ', '0553492381')
(70, 5.0, 'Crown Duel ', '0142301515')
(70, 5.0, 'Test of the Twins ', '0786918063')
(69, 5.0, 'The Voyage of the Dawn Treader', '0898458749')
(69, 5.0, 'The Chronicles of Narnia: Voyage of the Dawn Treader ', '055352495')
(68, 5.0, 'Dragonsinger ', '0689860072')
(68, 5.0, 'The Hab Theory', '0595008208')
(68, 5.0, 'Dragonsinger ', '0689860242')
(68, 5.0, 'Dragonsinger ', '0881038156')
(68, 5.0, 'Dragonsinger ', '0553258540')
(66, 5.0, 'Ficciones ', '0802130305')
(65, 5.0, 'Mary Stewart', '0688003478')
(65, 5.0, 'A Stitch in Time ', '0671038850')
(65, 5.0, 'Unfinished Tales of Numenor and Middle', '0618154043')
(65, 5.0, 'Unfinished Tales: The Lost Lore of Middle', '0345357116')
(65, 5.0, 'Reaper Man ', '0753100193')
(65, 5.0, 'Unfinished Tales of Numenor and Middle', '0618154051')
(65, 5.0, 'Reaper Man', '0061020621')
