(Cantidad de reviews, Score, Titulo)
(673, 5.0, 'Have a Nice Day', '0061031011')
(671, 5.0, 'Have a Nice Day', '069452395')
(671, 5.0, 'Have a Nice Day : A Tale of Blood and Sweatsocks', '0060392991')
(601, 5.0, 'Seabiscuit: An American Legend', '0449005615')
(601, 5.0, 'Seabiscuit: An American Legend', '0375417141')
(601, 5.0, 'Seabiscuit', '0739306391')
(601, 5.0, 'Seabiscuit', '0345465083')
(601, 5.0, 'Seabiscuit: An American Legend', '0375502912')
(601, 5.0, 'Seabiscuit: An American Legend (G K Hall Large Print Nonfiction Series)', '0783895267')
(490, 5.0, 'Rocket Boys (aka October Sky)', '038533320')
(490, 5.0, 'Rocket Boys', '0385333218')
(490, 5.0, 'Rocket Boys : A Memoir', '0671582720')
(490, 5.0, 'October Sky: A Memoir', '0440235502')
(417, 5.0, 'Flags of Our Fathers (Wheeler Large Print Book Series (Paper))', '1568951825')
(417, 5.0, 'Flags of Our Fathers', '0553712462')
(417, 5.0, 'Flags of Our Fathers', '0553527460')
(417, 5.0, 'Flags of Our Fathers: Heroes of Iwo Jima', '0553111337')
(417, 5.0, 'Flags of Our Fathers', '055338029')
(387, 5.0, "The Lost Boy: A Foster Child's Search for the Love of a Family", '1402504055')
(387, 5.0, "The Lost Boy: A Foster Child's Search for the Love of a Family", '1558745157')
(386, 5.0, "The Lost Boy: A Foster Child's Search for the Love of a Family", '0613173538')
(349, 5.0, "Endurance: Shackleton's Incredible Voyage", '1572701331')
(349, 5.0, "Endurance: Shackleton's Incredible Voyage (Audio Editions)", '1572702907')
(349, 5.0, "Endurance: Shackleton's Incredible Voyage to the Antarctic (Illustrated Edition)", '0786708425')
(349, 5.0, "Endurance: Shackleton's Incredible Voyage", '078670621')
(311, 5.0, "James Cameron's Titanic", '0006490603')
(311, 5.0, "James Cameron's Titanic", '0067575161')
(276, 5.0, 'Thief of Hearts', '1588515591')
(236, 5.0, 'Screwtape Letters, The', '0060093676')
(236, 5.0, 'Screwtape Letters, The', '0060093668')
(214, 5.0, "Seductive Poison : A Jonestown Survivor's Story of Life and Death in the People's Temple", '0385489846')
(208, 5.0, 'The Beatles Anthology', '0811836363')
(208, 5.0, 'The Code Book : The Evolution Of Secrecy From Mary, To Queen Of Scots To Quantum Crytography', '0385495315')
(208, 5.0, 'The Code Book: The Science of Secrecy from Ancient Egypt to Quantum Cryptography', '0385495323')
(208, 5.0, 'The Beatles Anthology', '0811826848')
(193, 5.0, 'Truman', '0671798871')
(192, 5.0, 'The Prophet', '0394404262')
(191, 5.0, 'Truman', '0671869205')
(191, 5.0, 'Truman', '0671456547')
(191, 5.0, 'Truman', '0743508068')
(177, 5.0, 'The Company She Keeps', '1580291058')
(164, 5.0, 'If Chins Could Kill: Confessions of a B Movie Actor', '0312242646')
(164, 5.0, 'If Chins Could Kill : Confessions of a B Movie Actor', '0312291450')
(161, 5.0, 'Lucky Man : A Memoir', '0786888741')
(161, 5.0, 'Lucky Man: A Memoir', '0786867647')
(161, 5.0, 'Lucky Man : A Memoir', '0743508734')
(161, 5.0, 'Lucky Man (Random House Large Print)', '0375431411')
(161, 5.0, 'Lucky Man : A Memoir', '0743508726')
(159, 5.0, "Forgotten Soldier : The Classic WWII Autobiography (Brassey's Commemorative Series WWII) (Brassey's Commemorative Series Wwii)", '0080374379')
(159, 5.0, 'The Lords of Discipline', '0553381563')
(148, 5.0, 'Heart and Soul of Nick Carter', '0451408950')
(147, 5.0, 'Point of Impact', '0553563513')
(146, 5.0, 'All I Need to Know About Filmmaking I Learned from the Toxic Avenger: The Shocking True Story of Troma Studios', '0425163571')
(136, 5.0, 'Roots (Dell Book)', '0440174643')
(136, 5.0, 'Roots : The Saga of an American Family (Modern Classics)', '0517208601')
(136, 5.0, 'Roots', '0385037872')
(131, 5.0, 'Companions of the Night', '0152166696')
(129, 5.0, 'I Have Lived a Thousand Years : Growing Up in the Holocaust', '0689810229')
(129, 5.0, 'I Have Lived A Thousand Years: Growing Up In The Holocaust', '0689823959')
(127, 5.0, 'WHEN PRIDE STILL MATTERED : A Life of Vince Lombardi', '0684844184')
(127, 5.0, 'When Pride Still Mattered : A Life of Vince Lombardi', '0671776290')
(127, 5.0, 'When Pride Still Mattered: A Life of Vince Lombardi (Thorndike Press Large Print Biography Series)', '0786224827')
(127, 5.0, 'When Pride Still Mattered : A Life Of Vince Lombardi', '0684870185')
(125, 5.0, 'Remember Me', '067173685')
(125, 5.0, 'Remember Me #1 (reissue)', '0743428013')
(124, 5.0, 'Halls of Fame', '1555973140')
(122, 5.0, 'Friendly Enemies', '1591298733')
(120, 5.0, 'My Sergei : A Love Story', '0446605336')
(116, 5.0, 'The Care & Keeping of You: The Body Book for Girls (American Girl Library (Paperback))', '1562476661')
(115, 5.0, 'Winterdance: The Fine Madness of Running the Iditarod', '0151262276')
(115, 5.0, "Wake Up, I'm Fat", '0767903633')
(115, 5.0, 'Winterdance: The Fine Madness of Running the Iditarod', '0156001454')
(114, 5.0, 'With the Old Breed: At Peleliu and Okinawa (Classics of Naval Literature)', '1557507473')
(113, 5.0, 'With the Old Breed: At Peleliu and Okinawa', '0195067142')
(113, 5.0, 'The Making of the Atomic Bomb', '0684813785')
(113, 5.0, "Race Against Evil: The Secret Missions of the Interpol Agent Who Tracked the World's Most Sinister Criminals", '0882822314')
(107, 5.0, 'The Watchers Guide Buffy The Vampire Slayer (Buffy The Vampire Slayer)', '0671024337')
(107, 5.0, 'Alicia', '0553282182')
(106, 5.0, 'Fresh Wind, Fresh Fire', '0310211999')
(105, 5.0, 'Civil War: A Narrative (3 Vol. Set)', '0394495179')
(105, 5.0, 'The Civil War: A Narrative (3 Vol. Set)', '0394749138')
(105, 5.0, 'Elixir', '0812575911')
(104, 5.0, 'Life Is Just What You Make It : My Life So Far', '0786889713')
(102, 5.0, 'Come As You Are: The Story of Nirvana', '0385471998')
(100, 5.0, 'Baby Catcher: Chronicles of a Modern Midwife', '0743219341')
(100, 5.0, 'Baby Catcher : Chronicles of a Modern Midwife', '0743219333')
(99, 5.0, 'Dice Angel', '0971714819')
(95, 5.0, 'Six Wives of Henry VIII', '0802136834')
(90, 5.0, 'Book of Greek Myths', '1885608144')
(90, 5.0, 'Persepolis : The Story of a Childhood (Alex Awards (Awards))', '0375422307')
(89, 5.0, 'Katherine', '0899668143')
(89, 5.0, "Sog: The Secret Wars of America's Commandos in Vietnam", '0451195086')
(87, 5.0, 'Portraits of Guilt', '0671034855')
(87, 5.0, 'I Am Jackie Chan : My Life in Action', '0345429133')
(87, 5.0, 'Basketball Diaries', '0613132610')
(87, 5.0, 'The Basketball Diaries : Movie Tie-In Edition', '0140249990')
(87, 5.0, 'I Am Jackie Chan', '078711801')
(87, 5.0, 'Portraits of Guilt', '0671034863')
(86, 5.0, "Sara's Children : The Destruction of Chmielnik", '1887901280')
(84, 5.0, 'Forensic Art and Illustration', '0849381185')
(84, 5.0, 'Second Sight', '1574531352')
(84, 5.0, 'Second Sight', '0446673358')
(83, 5.0, "The Pianist: The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945", '0312311354')
(83, 5.0, "Complications: A Surgeon's Notes on an Imperfect Science", '0805063196')
(83, 5.0, "The Pianist : The Extraordinary True Story of One Man's Survival in Warsaw, 1939-1945", '0312263767')
(83, 5.0, 'The Pianist', '0312244150')
(82, 5.0, "Complications: A Surgeon's Notes on an Imperfect Science", '1559278587')
(81, 5.0, "Ain't Nobody's Business If You Do : The Absurdity of Consensual Crimes in Our Free Country", '0931580587')
(81, 5.0, 'If Only', '0440235847')
(80, 5.0, 'Driver #8', '0446530301')
(80, 5.0, 'Driver #8', '1586212591')
(80, 5.0, 'The Power Broker : Robert Moses and the Fall of New York (Vintage)', '0394720245')
(80, 5.0, 'The Power Broker : Robert Moses and the Fall of New York', '0394480767')
(80, 5.0, 'Driver #8', '0446612502')
(79, 5.0, 'Nicholas and Alexandra', '0345438310')
(79, 5.0, 'The Living Blood', '0671040847')
(79, 5.0, 'Nicholas and Alexandra Part II', '0786108460')
(79, 5.0, 'Nicholas and Alexandra Part I', '078610791')
(79, 5.0, 'Nicholas and Alexandra', '0613371623')
(78, 5.0, 'All Creatures Great and Small', '1559273992')
(78, 5.0, 'The Living Blood', '0671040839')
(78, 5.0, 'All Creatures Great and Small', '1559277734')
(78, 5.0, 'All Creatures Great and Small', '0312084986')
(77, 5.0, 'Love, Lucy', '0425177319')
(76, 5.0, 'Titanic: The Long Night', '059033123')
(76, 5.0, 'Small Sacrifices: A True Story of Passion and Murder', '0451166604')
(76, 5.0, 'Peter the Great', '0345298063')
(75, 5.0, 'Papillon', '0060934794')
(75, 5.0, 'Chickenhawk', '0140072187')
(75, 5.0, 'Papillon (Spanish edition)', '8401462436')
(73, 5.0, 'The Gulag Archipelago: 1918-1956 : An Experiment in Literary Investigation (Gulag Archipelago)', '0813332907')
(73, 5.0, 'The Gulag Archipelago: 1918-1956 : An Experiment in Literary Investigation, V-VII (Gulag Archipelago)', '0813332915')
(73, 5.0, 'All But My Life : A Memoir', '0809015803')
(73, 5.0, 'The Gulag Archipelago 1918-1956: An Experiment in Literary Investigation (Gulag Archipelago)', '0813332893')
(73, 5.0, 'All but My Life', '0809024608')
(73, 5.0, 'Little Girl Lost', '0671689231')
(73, 5.0, 'Fate is the Hunter', '0671636030')
(73, 5.0, 'The Lady, Her Lover, and Her Lord', '0399144145')
(73, 5.0, 'The Gulag Archipelago: 1918-1956', '0060007761')
(72, 5.0, 'Tears of Rage - From Grieving Father to Crusader for Justice: The Untold Story of the Adam Walsh Case', '0671006614')
(72, 5.0, 'Life Is So Good', '037550396')
(72, 5.0, 'Life Is So Good', '1574533495')
(72, 5.0, 'Life Is So Good', '0613364651')
(72, 5.0, 'Life Is So Good', '0141001682')
(72, 5.0, '84, Charing Cross Road', '0140143505')
(72, 5.0, 'Tears of Rage', '067100669')
(71, 5.0, 'My Family and Other Animals (Penguin Nature Classics)', '014028902')
(71, 5.0, 'Tupac Shakur', '0609802178')
(70, 5.0, 'Boot Camp for Your Brain: A No-Nonsense Guide to the SAT I', '0738861715')
(70, 5.0, 'Best Christmas Pageant Ever', '1559944978')
(70, 5.0, 'A Guide for Using The Best Christmas Pageant Ever in the Classroom', '155734437')
(69, 5.0, 'To Sleep with the Angels : A Story of a Fire', '1566631025')
(69, 5.0, 'The 12 Secrets of Highly Creative Women: A Portable Mentor', '1573241415')
(69, 5.0, 'To Sleep with the Angels : The Story of a Fire (Illinois)', '156663217')
(69, 5.0, 'The 12 Secrets of Highly Creative Women: A Portable Mentor', '1567314163')
(68, 5.0, 'The Hab Theory', '0595008208')
(68, 5.0, 'Osho Zen Tarot : The Transcendental Game Of Zen', '0312117337')
(67, 5.0, 'How to Keep Your Volkswagen Alive 19 Ed: A Manual of Step-by-Step Procedures for the Compleat Idiot', '1566913101')
(67, 5.0, 'There Are Survivors: The Michael Cuccione Story', '0968318800')
(66, 5.0, 'Iron Coffins: A Personal Account of the German U-Boat Battles of World War II', '030681160')
(66, 5.0, 'Iron Coffins: A Personal Account of the German U-Boat Battles of World War II', '0306808420')
(65, 5.0, 'Harpo Speaks', '0879100362')
(65, 5.0, 'ABOUT FACE : THE ODYSSEY OF AN AMERICAN WARRIOR', '0671695347')
(64, 5.0, 'Path Between The Seas : The Creation of the Panama Canal, 1870-1914', '0671244094')
(64, 5.0, 'One Nation: America Remembers September 11, 2001', '0316525405')
(64, 5.0, 'In the Company of Heroes: A True Story', '0399150609')
(64, 5.0, 'In the Company of Heroes : The True Story of Black Hawk Pilot Michael Durant and the Men Who Fought and Fell at Mogadishu', '074353056')
(64, 5.0, 'The Lorax', '0679822739')
(64, 5.0, 'In the Company of Heroes : The True Story of Black Hawk Pilot Michael Durant and the Men Who Fought and Fell at Mogadishu', '0743530497')
(64, 5.0, 'Conspiracy in Death (In Death (Paperback))', '0425168131')
(62, 5.0, 'Danger Close', '0967512301')
(62, 5.0, 'Danger Close, Second Edition', '096751231')
(62, 5.0, 'The Warrior Elite : The Forging of Seal Class 228', '0609607103')
(62, 5.0, 'Hawk: Occupation: Skateboarder', '0060958316')
(62, 5.0, 'Hawk: Occupation: Skateboarder', '0060198605')
(62, 5.0, 'Death in the Long Grass', '0312186134')
(62, 5.0, 'U2 : At the End of the World', '0385311575')
(62, 5.0, 'The Warrior Elite : The Forging of SEAL Class 228', '1400046955')
(62, 5.0, 'Danger Close', '0967512328')
(62, 5.0, 'QED: The Strange Theory of Light and Matter', '0691024170')
(61, 5.0, 'Drug Crazy : How We Got into This Mess and How We Can Get Out', '0415926475')
(61, 5.0, 'Drug Crazy : How We Got Into This Mess and How We Can Get Out', '0679435336')
(61, 5.0, 'Buffett : The Making of an American Capitalist', '0385484917')
(60, 5.0, 'Signals: An Inspiring Story of Life After Life', '1577311795')
(60, 5.0, 'The Longest Day: The Classic Epic of D-Day', '0671890913')
(60, 5.0, 'Ryan White: My Own Story', '0451173228')
(60, 5.0, 'Ryan White: My Own Story', '0785715185')
(59, 5.0, 'In My Hands: Memories of a Holocaust Rescuer', '0679891811')
(59, 5.0, 'In My Hands : Memories of a Holocaust Rescuer', '0385720327')
(57, 5.0, 'The Coalwood Way : A Memoir (Random House Large Print)', '0375430873')
(57, 5.0, 'The Glory of Their Times', '1565112539')
(57, 5.0, 'The Glory of Their Times : The Story of Baseball Told By the Men Who Played It', '0688112730')
(57, 5.0, 'The Coalwood Way', '0385335164')
(57, 5.0, 'The Coalwood Way', '0440237165')
(57, 5.0, 'The Glory of Their Times', '1565112474')
(56, 5.0, 'The Face of Battle : A Study of Agincourt, Waterloo, and the Somme', '0140048979')
(56, 5.0, 'Golf is Not a Game Of Perfect', '0671570633')
(56, 5.0, 'Ghost Girl: The True Story of a Child in Peril and the Teacher Who Saved Her', '038071681')
(56, 5.0, 'The Law', '0786101903')
(56, 5.0, 'The Face of Battle', '0844671266')
(56, 5.0, 'Golf Is Not A Game Of Perfect', '0743508092')
(55, 5.0, 'Prayers on My Pillow : Inspiration for Girls on the Threshold of Change', '0345426738')
(55, 5.0, 'Wooden', '0809230410')
(54, 5.0, 'BRIDGE TOO FAR : THE CLASSIC HISTORY OF THE GREATEST AIRBORNE BATTLE OF WORLD WAR II', '0684803305')
(54, 5.0, 'Alex: The Life of a Child', '1558535527')
