 
(Cantidad de reviews, Score, Titulo)
(2396, 5.0, 'Harry Potter and the Prisoner of Azkaban ', '0807286028')
(441, 5.0, 'Waiting in Vain', '0345430123')
(374, 5.0, 'A Knight in Shining Armor', '0743457269')
(374, 5.0, 'A Knight in Shining Armor', '0743439724')
(372, 5.0, 'A Knight in Shining Armor', '0671705091')
(360, 5.0, 'The Count of Monte Cristo ', '0679601996')
(294, 5.0, 'Lonesome Dove : A Novel', '0684857529')
(294, 5.0, 'Lonesome Dove', '067168390')
(294, 5.0, 'Lonesome Dove Vol', '1590400453')
(258, 5.0, 'Friends and Lovers', '0451188039')
(258, 5.0, 'Friends and Lovers', '0525941274')
(258, 5.0, 'Friends and Lovers', '0451201027')
(223, 5.0, 'The Dark Tower Gift Collection', '1880418401')
(212, 5.0, 'Tryin', '0312963130')
(212, 5.0, 'Tryin', '0312288433')
(212, 5.0, 'Tryin', '0312152337')
(199, 5.0, 'A Ring of Endless Light ', '0374362998')
(194, 5.0, 'Paradise', '0743428331')
(194, 5.0, 'Paradise', '0671776800')
(175, 5.0, 'Second Helpings : A Novel', '0609807919')
(159, 5.0, 'The Lords of Discipline', '0553381563')
(159, 5.0, 'The Lords of Discipline', '0553271369')
(159, 5.0, 'Lords of Discipline', '0937036013')
(157, 5.0, 'Le Fin', '1591298741')
(136, 5.0, 'Roots : The Saga of an American Family ', '0517208601')
(123, 5.0, 'A Twist Of Fate', '1930097344')
(119, 5.0, 'Sugar', '0452282209')
(119, 5.0, 'Sugar', '0525945318')
(115, 5.0, 'Last Days of Summer', '0380797631')
(107, 5.0, 'The Watchers Guide Buffy The Vampire Slayer ', '0671024337')
(103, 5.0, 'Musashi', '4770019572')
(100, 5.0, 'The Mirror', '0915230151')
(100, 5.0, 'As A Man Thinketh', '0948390557')
(100, 5.0, 'The Brothers K', '055337849')
(100, 5.0, 'Mrs', '0425183238')
(94, 5.0, 'Magic', '0886774268')
(90, 5.0, 'The Mitford Years: At Home in Mitford', '0140868135')
(90, 5.0, 'The Mitford Years: At Home in Mitford ', '0147712564')
(90, 5.0, 'The Mitford Years:  At Home in Mitford ', '0147715962')
(89, 5.0, 'Katherine', '0899668143')
(87, 5.0, 'Mother Night', '0385334141')
(87, 5.0, 'The Magic of Thinking Big', '0671646788')
(82, 5.0, 'Out to Canaan ', '0140865977')
(81, 5.0, 'The River Why', '0871563215')
(81, 5.0, 'The River Why', '1578050847')
