 
(Cantidad de reviews, Score, Titulo)
(360, 5.0, 'The Count of Monte Cristo ', '0679601996')
(360, 5.0, 'The Count of Monte Cristo ', '014044615')
(311, 5.0, 'James Cameron', '0067575161')
(294, 5.0, 'Lonesome Dove : A Novel', '0684857529')
(294, 5.0, 'Lonesome Dove', '067168390')
(294, 5.0, 'Lonesome Dove Vol', '1590400461')
(294, 5.0, 'Lonesome Dove : A Novel ', '068487122')
(294, 5.0, 'Lonesome Dove Vol', '1590400453')
(157, 5.0, 'Le Fin', '1591298741')
(153, 5.0, 'These is My Words', '0060987510')
(147, 5.0, 'Point of Impact', '0553563513')
(136, 5.0, 'Roots ', '0440174643')
(117, 5.0, 'City of the Dead ', '0671024418')
(115, 5.0, 'Last Days of Summer', '0613173368')
(115, 5.0, 'Last Days of Summer', '0380797631')
(114, 5.0, 'Sunne in Splendour', '0345363132')
(107, 5.0, 'The Watchers Guide Buffy The Vampire Slayer ', '0671024337')
(107, 5.0, 'Here be Dragons', '0345382846')
(103, 5.0, 'Howl', '0688062334')
(100, 5.0, 'The Mirror', '0915230151')
(100, 5.0, 'The Brothers K', '055337849')
(92, 5.0, 'Ride the Wind', '0345325222')
(74, 5.0, 'The Light Bearer', '0515119660')
(73, 5.0, 'The Star Trek Encyclopedia ', '0671034758')
(73, 5.0, 'The Star Trek Encyclopedia', '0671536095')
(72, 5.0, 'The Egyptian', '0899668631')
(72, 5.0, 'The Egyptian: A Novel', '1556524412')
(70, 5.0, 'Lion of Ireland ', '0812553993')
(65, 5.0, 'A Stitch in Time ', '0671038850')
(65, 5.0, 'Rainbow Boys', '0689841000')
(64, 5.0, 'The Far Pavilions', '031215125')
(64, 5.0, 'Fields of Fire', '0553583859')
(64, 5.0, 'La Fiesta del Chivo', '8420441694')
(64, 5.0, 'Fields of Fire ', '1557509638')
(64, 5.0, 'La fiesta del chivo', '9681906993')
(61, 5.0, 'The Warmest December', '0452282918')
(56, 5.0, 'The Locket', '0671004239')
(55, 5.0, 'D', '1842125214')
(52, 5.0, 'Indigo', '0595002021')
(50, 5.0, 'Twenty Years After ', '0192838431')
(50, 5.0, 'Twenty Years After', '0899682294')
(50, 5.0, 'Life', '0971702101')
(47, 5.0, 'The Green', '0385494602')
(47, 5.0, 'A Land Remembered', '0910923124')
(47, 5.0, 'A Land Remembered', '1561641162')
(44, 5.0, 'Julian : A Novel ', '037572706')
(43, 5.0, 'Push Not The River', '0738831417')
(43, 5.0, 'Push Not The River', '0738831409')
(43, 5.0, 'Push Not The River', '0312311508')
(43, 5.0, 'The Cruel Sea', '1580800467')
(43, 5.0, 'Invitation to Valhalla', '0595206832')
(40, 5.0, 'In Open Spaces', '0060084340')
(40, 5.0, 'Little Britches: Father and I Were Ranchers', '0803281781')
(40, 5.0, 'Son of the Morning Star : Custer and The Little Bighorn', '0865475105')
(38, 5.0, 'The Mark of Zorro', '0812540077')
(38, 5.0, 'From Russia with Love', '0142002070')
(37, 5.0, 'Desolation Island ', '0393037053')
(37, 5.0, 'Lone Wolf and Cub 1: The Assassin', '1569715025')
(37, 5.0, 'Desolation Island ', '039330812')
(35, 5.0, 'The Bondwoman', '1586212729')
(35, 5.0, 'Captains and the Kings', '0449205622')
(35, 5.0, 'Sharpe', '0140294295')
(34, 5.0, 'Some Things That Stay', '0374105804')
(34, 5.0, 'Some Things That Stay', '0425179605')
(34, 5.0, 'Red Sky at Morning : A Novel ', '0060931906')
(33, 5.0, 'The Seamstress: A Memoir of Survival', '0425166309')
(33, 5.0, 'Heart of the Beast : A Novel', '0743211790')
(33, 5.0, 'Heart of the Beast: A Novel', '0743211804')
(33, 5.0, 'Ester', '0967673739')
(32, 5.0, 'Daria Diaries', '0671017098')
(31, 5.0, 'A Family Reunion', '0312978839')
(30, 5.0, 'The Devil in Music', '0140263640')
(29, 5.0, 'Things Unspoken', '0811823555')
(29, 5.0, 'Things Unspoken', '0811831574')
(29, 5.0, 'People of the Lakes ', '0812507479')
(29, 5.0, 'Mandalay', '1880404206')
(29, 5.0, 'Checkmate : Sixth in the Legendary Lymond Chronicles ', '0679777482')
(28, 5.0, 'The Gamble', '051508901')
(28, 5.0, 'This One and Magic Life', '0380975998')
(28, 5.0, 'Shakespeare in Love: A Screenplay', '0786884851')
(28, 5.0, 'Kristin Lavransdatter', '0394432622')
(28, 5.0, 'One Special Moment ', '1583142274')
(27, 5.0, 'How to Ruin the Perfect Child', '059512870')
(27, 5.0, 'Little Big Man', '0385298293')
(26, 5.0, 'Scaramouche ', '0895263106')
(26, 5.0, 'Cordelia Underwood: Or the Marvelous Beginnings of the Moosepath League', '0140280103')
