;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,1.7224,0.44543,desierto";;;
"2,Alcohol,1,1.2535,2.0592,";0;0;0
"3,Avion,1,1.2586,0.83286,viaje";0;0;1
"4,Barco,0,1.2897,1.0951,navegacion";0;0;1
"5,Biblioteca,0,1.0239,1.232,biblioteca";1;0;0
"6,Campo,0,4.5224,1.4134,agranja";0;0;1
"7,Cementerio,0,1.198,2.734,cementerio";1;0;0
"8,Circo,1,1.6112,1.0763,circo";0;1;0
"9,Cocina,0,1.4185,0.55365,";0;0;0
"10,Comida,0,2.4586,2.4807,comida";1;0;0
"11,Computadora,1,1.1318,1.3184,tecnologia";0;0;1
"12,Desayuno,0,2.8119,0.73144,desayuno";1;0;0
"13,Equipo,1,3.1184,0.95396,union";0;0;1
"14,Espacio,0,1.4465,0.78789,espacio";1;0;0
"15,Fiesta,1,2.3312,0.36662,fiesta";0;1;0
"16,Fuego,0,1.4726,0.85444,fuego";1;0;0
"17,Granjero,0,2.5151,0.95069,animales";0;0;1
"18,Guerra,1,1.3425,0.75325,fguerra";0;1;0
"19,Laboratorio,0,0.91658,0.64001,laboratorio";1;0;0
"20,Lluvia,0,1.0738,0.71147,agua";0;0;1
"21,Medico,1,1.5628,0.70814,medicina";0;0;1
"22,Navidad,1,1.8366,0.72337,fiesta";0;0;1
"23,Pintor,1,1.202,1.3225,pintura";0;0;1
"24,Plomero,1,1.2525,0.82671,herramientas";0;0;1
"25,Robo,0,1.901,0.98522,plata";0;0;0
"26,Television,1,1.1111,0.87517,television";0;1;0
