;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,3.9186,2.0255,desierto";;;
"2,Alcohol,1,1.705,0.25352,trago";0;0;1
"3,Avion,0,1.7035,0.42135,viaje";0;0;1
"4,Barco,0,2.598,0.55036,naval";0;0;1
"5,Biblioteca,0,6.736,0.83517,biblioteca";1;0;0
"6,Campo,1,2.775,0.81644,granja";0;0;1
"7,Cementerio,0,1.6774,0.45098,cementerio";1;0;0
"8,Circo,1,1.3534,0.23611,circo";0;1;0
"9,Cocina,1,1.7334,0.47978,cocina";0;1;0
"10,Comida,1,4.8313,0.56641,comida";0;1;0
"11,Computadora,0,2.7955,2.4996,periferico";0;0;1
"12,Desayuno,1,1.9694,0.37877,desayuno";0;1;0
"13,Equipo,1,9.0866,0.35599,amistad";0;0;1
"14,Espacio,0,1.9734,0.391,espacio";1;0;0
"15,Fiesta,1,1.4341,0.52907,fiesta";0;1;0
"16,Fuego,0,1.7454,0.35627,fuego";1;0;0
"17,Granjero,1,4.9341,0.54572,alimento";0;0;0
"18,Guerra,0,1.2539,0.67626,guerra";1;0;0
"19,Laboratorio,1,1.5761,0.32182,laboratorio";0;1;0
"20,Lluvia,0,1.2602,0.28237,lluvia";1;0;0
"21,Medico,0,3.7495,0.85586,medico";1;0;0
"22,Navidad,0,3.1568,2.4229,ano";0;0;0
"23,Pintor,1,1.3221,0.80778,pintura";0;0;1
"24,Plomero,0,7.4995,0.20804,plomero";1;0;0
"25,Robo,0,5.6161,2.9843,oro";0;0;0
"26,Television,1,4.7073,2.1751,tv";0;1;0
