;CorrectaConSubliminal;CorrectaCon3ImÃ¡genes;IncorrectaPeroConCiertoSentido
1,Test,0,0.88435,0.45705,desierto;;;
2,Alcohol,0,1.2771,0.78673,bebidas;0;0;1
3,Avion,0,9.8445,0.32004,vuelo;0;0;1
4,Barco,1,5.5451,1.5467,marina;0;0;1
5,Biblioteca,0,1.5559,0.23883,biblioteca;1;0;0
6,Campo,0,7.6832,0.16038,campo;1;0;0
7,Cementerio,0,3.0831,0.18977,cementerio;1;0;0
8,Circo,0,0.97173,0.3492,;0;0;0
9,Cocina,1,2.6406,0.79887,cocina;0;1;0
10,Comida,0,1.2465,0.26125,comida;1;0;0
11,Computadora,1,3.094,0.96289,tecnologia;0;0;1
12,Desayuno,1,2.4874,0.21896,desayuno;0;1;0
13,Equipo,1,6.6192,0.36209,socializar;0;0;1
14,Espacio,0,7.4824,0.70323,espacio;1;0;0
15,Fiesta,0,1.4005,0.89724,festrejo;1;0;0
16,Fuego,0,8.5184,0.32195,fuego;1;0;0
17,Granjero,1,4.3527,0.85871,granja;0;0;1
18,Guerra,1,1.9117,0.77741,guerra;0;1;0
19,Laboratorio,1,1.2898,0.28628,laboratorio;0;1;0
20,Lluvia,0,3.7397,0.2952,agua;0;0;1
21,Medico,1,4.1405,0.42337,medicina;0;0;1
22,Navidad,0,1.0258,2.1775,festividad;0;0;1
23,Pintor,0,1.6599,0.72986,pintura;0;0;1
24,Plomero,1,4.5293,0.95613,plomeria;0;0;1
25,Robo,1,10.5147,0.38257,banco;0;0;1
26,Television,1,1.1265,0.34665,seal;0;0;0
