;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,2.4601,0.21771,desierto";;;
"2,Alcohol,1,2.5465,0.55667,acohol";0;1;0
"3,Avion,1,1.1332,0.20771,viaje";0;0;1
"4,Barco,0,4.8585,0.21513,marino";0;0;1
"5,Biblioteca,0,2.848,0.53355,biblioteca";1;0;0
"6,Campo,0,1.9441,0.3226,granja";0;0;1
"7,Cementerio,0,2.0377,0.54871,muerte";0;0;1
"8,Circo,1,4.2498,0.25644,circo";0;1;0
"9,Cocina,0,2.1722,0.18914,cocina";1;0;0
"10,Comida,0,2.7692,0.60287,chatarra";0;0;1
"11,Computadora,1,3.5531,0.98705,dispositivo";0;0;1
"12,Desayuno,0,2.2046,0.54067,desayuno";1;0;0
"13,Equipo,1,5.9511,0.39287,equipo";0;1;0
"14,Espacio,0,1.8472,0.26929,espacio";1;0;0
"15,Fiesta,1,3.6886,0.22109,fiesta";0;1;0
"16,Fuego,0,1.7212,0.38066,fuego";1;0;0
"17,Granjero,0,3.0218,0.26105,granja";0;0;1
"18,Guerra,1,1.4826,0.25531,guerra";0;1;0
"19,Laboratorio,0,2.9366,0.23515,laboratorio";1;0;0
"20,Lluvia,0,1.9612,0.26686,lluvia";1;0;0
"21,Medico,1,2.9145,1.2304,medicina";0;0;1
"22,Navidad,1,1.1785,0.41134,ifesta";0;0;1
"23,Pintor,1,1.3273,0.80214,pintar";0;0;1
"24,Plomero,1,2.0178,0.40141,arreglo";0;0;1
"25,Robo,0,5.365,0.4545,dinero";0;0;1
"26,Television,1,2.4486,0.2627,televisror";0;1;0
