1,0,4.8781,2.5317,,
2,1,2.2253,1.0412,0,0,1
3,0,1.4813,0.82214,0,0,1
4,1,3.273,1.8711,0,0,1
5,1,4.4983,0.91061,0,1,0
6,0,5.2847,1.0655,1,0,0
7,0,1.6411,0.86455,0,0,1
8,1,5.98,2.7005,0,0,1
9,1,3.8226,0.86064,0,1,0
10,0,2.7142,1.1016,1,0,0
11,0,6.8367,1.0358,0,0,1
12,0,3.1635,0.79678,1,0,0
13,1,7.0706,0.90929,0,0,1
14,1,2.7267,0.69113,0,1,0
15,1,1.71,1.3951,0,1,0
16,1,1.3093,0.84277,0,0,1
17,0,5.7887,0.27783,0,0,0
18,0,1.8708,1.1249,1,0,0
19,0,1.6707,1.1544,0,0,1
20,0,4.4734,1.2072,1,0,0
21,1,3.5855,0.8585,0,0,0
22,1,1.9986,2.8208,0,0,0
23,1,1.7047,1.253,0,1,0
24,0,3.3567,1.3591,0,0,0
25,0,3.2501,1.6484,1,0,0
26,0,3.816,1.4659,1,0,0
