1,0,2243,2.5213,,
2,1,1.3571,0.93493,0,0,1
3,0,0.97915,0.62051,0,0,1
4,0,1.0337,5.6967,1,0,0
5,0,1.7833,0.064451,0,0,0
6,1,2.6046,0.74079,0,0,1
7,0,3.9974,3.6459,1,0,0
8,1,2.0498,1.64,0,1,0
9,1,1.4911,4.3678,0,1,0
10,1,1.4738,0.079209,0,1,0
11,0,1.7148,2526,0,0,1
12,1,3.6459,0.10782,0,1,0
13,1,0.030084,6.4128,0,0,0
14,0,0.84876,1.2386,0,0,1
15,1,2.2779,1.2745,0,1,0
16,0,2.8778,0.083225,0,0,1
17,1,0.32182,0.92573,0,0,0
18,0,2.4199,0.32325,1,0,0
19,1,2.3191,0.058592,0,0,1
20,0,3.8667,0.13646,1,0,0
21,0,2.4631,1.1802,0,0,1
22,0,1.3413,1.1277,0,0,0
23,1,1.7153,0.19848,0,0,1
24,0,3.7339,0.28865,0,0,1
25,0,4.6132,0.4926,0,0,1
26,1,0.94919,1.3271,0,1,0
