1,0,3.0698,0.95549,,
2,0,1.5468,0.98882,0,0,1
3,1,2.6291,1.9311,0,1,0
4,1,1.5799,0.6453,0,0,1
5,0,5.3346,1.4893,1,0,0
6,0,2.5899,0.7105,1,0,0
7,0,2.0573,0.41549,0,0,1
8,1,1802,0.44185,0,0,1
9,0,1.6768,0.72212,1,0,0
10,1,1.6712,0.51673,0,0,1
11,0,1.5866,0.46726,0,0,1
12,1,2.7451,1.7388,0,0,1
13,0,5.68,1.4847,0,0,1
14,1,2.4928,0.76056,0,1,0
15,1,1.5485,0.6387,0,1,0
16,1,3.6605,0.8261,0,1,0
17,0,1.3133,1.6121,0,0,1
18,0,1.2705,0.69196,1,0,0
19,0,1.9818,0.66205,0,0,1
20,0,2.2769,0.70556,1,0,0
21,1,2.8886,0.46943,0,0,1
22,0,1.5498,0.58393,0,0,1
23,1,7.3458,1.0522,0,0,1
24,0,4.5288,0.57112,1,0,0
25,1,2.3773,0.70733,0,0,1
26,1,1.6959,0.65984,0,1,0
