,,,,,,CorrectaConSubliminal,CorrectaCon3Imágenes,IncorrectaPeroConCiertoSentido
1,Test,0,13.6811,0.3425,desierto,,,
2,Alcohol,0,3.1224,0.31791,bebiudas,0,0,1
3,Avion,1,4.8319,0.70259,aviojn,0,1,0
4,Barco,0,1.0725,0.23783,barco,1,0,0
5,Biblioteca,0,14.1385,0.34131,biblioteca,1,0,0
6,Campo,0,6.1852,0.38655,granja,0,0,1
7,Cementerio,1,5.7245,0.36836,velorio,0,0,1
8,Circo,1,8.0864,0.3718,show,0,0,1
9,Cocina,0,4.3204,0.51562,cocina,1,0,0
10,Comida,1,2.3344,0.44904,comida,0,1,0
11,Computadora,1,3.5045,0.59714,computasdora,0,1,0
12,Desayuno,1,4.7175,0.29667,desayuno,0,1,0
13,Equipo,0,3.4533,0.83525,equipo,1,0,0
14,Espacio,0,60.2255,0.089134,espacio,1,0,0
15,Fiesta,0,1.5286,0.36362,fiesta,1,0,0
16,Fuego,0,4.0493,0.28686,fuego,1,0,0
17,Granjero,0,6.9366,0.26771,granja,0,0,1
18,Guerra,1,2.5691,0.33069,guerra,0,1,0
19,Laboratorio,0,2.7892,0.3494,laboratorio,1,0,0
20,Lluvia,1,6.0904,0.26375,lluvia,0,1,0
21,Medico,0,3.4213,0.62919,medico,1,0,0
22,Navidad,1,10.2516,0.2179,navidasd,0,1,0
23,Pintor,1,23.3439,0.19422,pinmtoir,0,1,0
24,Plomero,1,9.1212,0.63702,ferreteria,0,0,1
25,Robo,0,13.3574,0.20722,oro,0,0,1
26,Television,1,3.8638,0.14913,television,0,1,0
