;"CorrectaConSubliminal";"CorrectaCon3Imágenes";"IncorrectaPeroConCiertoSentido"
"1,Test,0,1.5932,0.84951,desierto";;;
"2,Alcohol,0,1.0452,0.29899,tragos";0;0;1
"3,Avion,0,0.93176,2.5507,viaje";0;0;1
"4,Barco,1,0.7387,0.60536,marina";0;0;1
"5,Biblioteca,1,0.95452,0.50864,biblioteca";0;1;0
"6,Campo,0,11.2632,2.8932,amsterdam";0;0;0
"7,Cementerio,0,0.95443,1.6372,funeral";0;0;1
"8,Circo,0,1.3839,0.21633,circo";1;0;0
"9,Cocina,0,1.1744,0.87181,cocina";1;0;0
"10,Comida,1,1.7438,0.92269,chatarra";0;0;1
"11,Computadora,0,1.428,0.45882,perfiiperifericos";0;0;1
"12,Desayuno,0,1.745,0.48254,desayuno";1;0;0
"13,Equipo,0,3.6767,0.58583,equipo";1;0;0
"14,Espacio,1,0.68619,0.72257,espacio";0;1;0
"15,Fiesta,1,3.4731,0.82223,fiesta";0;1;0
"16,Fuego,0,1.3786,1.164,incendio";0;0;1
"17,Granjero,1,2.8373,0.6284,granja";0;0;1
"18,Guerra,1,1.3086,0.56085,guerra";0;1;0
"19,Laboratorio,1,0.92576,0.26461,laboratorio";0;1;0
"20,Lluvia,0,0.057267,2.0392,temporal";0;0;1
"21,Medico,0,3.6923,0.58432,medicina";0;0;1
"22,Navidad,1,1.6854,0.48139,festejo";0;0;1
"23,Pintor,1,8.4065,1.1265,mural";0;0;1
"24,Plomero,0,3.8633,1.0846,plomeria";0;0;1
"25,Robo,1,8.5084,0.4321,libre";0;0;0
"26,Television,1,1.4245,0.70405,television";0;1;0
