1,0,2.4965,0.46892,,
2,0,7.4727,0.41425,0,0,1
3,0,1.7908,1.621,1,0,0
4,1,2.8987,0.68713,0,0,1
5,0,2.5653,0.62292,0,0,1
6,0,5.6579,0.68896,0,0,0
7,0,6.6845,0.34654,0,0,1
8,0,2.1101,0.5953,1,0,0
9,1,2.0893,0.67025,0,1,0
10,0,12.3091,0.2105,0,0,0
11,1,3.5093,0.7386,0,0,1
12,1,1.3652,0.35891,0,1,0
13,1,10.3458,0.30864,0,0,1
14,0,5.9599,0.98672,1,0,0
15,0,5.5225,0.75054,1,0,0
16,0,2.342,1.633,1,0,0
17,1,6.8793,1.2682,0,0,0
18,1,2.762,1.139,0,1,0
19,1,4.8947,0.53996,0,0,1
20,0,6.4481,0.7666,0,0,1
21,1,3.6853,0.56252,0,0,1
22,0,1.518,0.54572,0,0,0
23,0,3.65,0.58367,0,0,1
24,1,2.9593,2.2423,0,0,0
25,1,3.6184,0.28286,0,0,0
26,1,2.6153,0.91107,0,0,0
