1,0,10.2717,1.3873,,
2,0,1.4327,1.3278,0,0,1
3,0,1.3079,0.26271,0,0,
4,1,0.78321,3.1279,0,0,1
5,0,1.9532,1.2269,0,0,1
6,0,2.1685,2.4183,0,0,0
7,0,1.2446,0.7953,0,0,1
8,0,1.0118,2.6044,0,0,1
9,1,1.3811,0.13388,0,0,1
10,0,1.0549,0.9731,1,0,0
11,1,0.87701,1.5629,0,0,1
12,1,0.81983,1.1548,0,0,0
13,1,1.1258,1.8252,0,0,1
14,0,1.6945,0.83468,1,0,0
15,0,1.3385,1.0053,0,0,0
16,0,0.86586,1.1998,1,0,0
17,1,2.5692,1.2666,0,0,1
18,1,1.8133,0.56516,0,1,0
19,1,3.5985,0.74212,0,0,1
20,0,1.0538,0.65194,0,0,1
21,1,2.1185,1.578,0,1,0
22,0,0.82664,1.026,0,0,1
23,0,0.87253,2.1388,0,0,1
24,1,4.3058,0.92579,0,0,1
25,1,2.005,1.3577,0,0,1
26,1,2.9891,0.69257,0,1,0
